annotator_x,author,sent_id,text,TIME,WRITER-AG,EVENT,ORG,LOC,ASP-EVENT,STATE,WRITER-PA,REP-EVENT,EVENT-COMP,annotator_y
ousmane,Q8063510,18.0,He has been awarded the best Media Educationist for the year 2015 by (SALF) and Recently Zabir Saeed Badar has been given the Lifetime Achievement Award by Pakistan Writers Guild and Qalam Foundation International He organized the first Perween Shakir literary award in Pakistan in 1995.  (Zabir Saeed),for the year 2015,,awarded,by (SALF),,,,He,,,marco
ousmane,Q8063510,18.0,He has been awarded the best Media Educationist for the year 2015 by (SALF) and Recently Zabir Saeed Badar has been given the Lifetime Achievement Award by Pakistan Writers Guild and Qalam Foundation International He organized the first Perween Shakir literary award in Pakistan in 1995.  (Zabir Saeed),in 1995,He,organized,,in Pakistan,,,,,,marco
ousmane,Q275146,141.0,"Without substantive procedural prerequisites, neither the Supreme Court, nor the Union of India was able to take any meaningful steps. (P. V. Narasimha Rao)",,,,,,,,,,,marco
ousmane,Q233289,121.0,The visit led to expansion in trade and economic ties between India and the United States.  (Atal Bihari Vajpayee),,,,,,,,,,,marco
ousmane,Q7609348,2.0,"He studied at St. Andrew's College, Grahamstown, and later at the University of Cape Town, Cambridge University, England (where he received a Bachelor of Arts and a Masters of Arts, both in English), and the University of Iowa, US (where he studied a Masters of Fine Arts in creative writing).  (Stephen Gray)",,,received,Cambridge University,England,,,he,,,marco
ousmane,Q7609348,2.0,"He studied at St. Andrew's College, Grahamstown, and later at the University of Cape Town, Cambridge University, England (where he received a Bachelor of Arts and a Masters of Arts, both in English), and the University of Iowa, US (where he studied a Masters of Fine Arts in creative writing).  (Stephen Gray)",,he,,the University of Iowa,US,,studied,,,,marco
ousmane,Q7609348,2.0,"He studied at St. Andrew's College, Grahamstown, and later at the University of Cape Town, Cambridge University, England (where he received a Bachelor of Arts and a Masters of Arts, both in English), and the University of Iowa, US (where he studied a Masters of Fine Arts in creative writing).  (Stephen Gray)",,He,,at the University of Cape Town,,,studied,,,,marco
ousmane,Q380221,15.0,"Ramachandran, whose father wanted him to become a physician rather than a researcher, obtained an M.B.B.S. from Stanley Medical College in Chennai, India.  (Vilayanur S. Ramachandran)",,Ramachandran,obtained,from Stanley Medical College,"in Chennai, India",,,,,,marco
ousmane,Q3595202,68.0,"The Delhi court said, ""a woman has right to voice her grievance even after several years""  on the judgement.  (M. J. Akbar)",,,,,,,,,,,marco
ousmane,Q55831264,51.0,"Monks are given a one-month period during which they should close or deactivate any social media pages or accounts, and voluntarily relinquish such behaviour and activity as unworthy of monastic life, lest the Church takes necessary action against them.  (Anba Epiphanius)",,,,,,,,,,,marco
ousmane,Q5948357,16.0,"Between 1982-84 he was a regular contributor to many newspapers in Latin America, through the Agencia Latinoamerica, based in Miami, Florida, US He was an economist in the department of developing countries for the American company Data Resources Inc., McGraw Hill, London and Boston (1985), specializing in the construction of macro-econometric models, among others Algeria    and South Africa  Between 1986 and 1987 he was a researcher at the Institute of World Economics, Institut für Weltwirtschaft, in Kiel, Germany.  (Juan Carlos Herken Krauer)",,he,,"at the Institute of World Economics, Institut für Weltwirtschaft","in Kiel, Germany",,researcher,,,,marco
ousmane,Q15146755,9.0,"After her PhD, Chutia continued her research at Dibrugarh University for another year as a CSIR-postdoctoral fellow.  (Joyanti Chutia)",for another year,Chutia,,at Dibrugarh University,,continued,research,,,,marco
ousmane,Q25539791,7.0,"He was inclined towards studying Islamic sciences, and completed the traditional dars-e-nizami at the Madrasa Bait-ul-Uloom in Sarai Mir in four years.  (Hakim Muhammad Akhtar)",in four years,He,completed,at the Madrasa Bait-ul-Uloom,in Sarai Mir,,,,,,marco
ousmane,Q273233,221.0,"The document asserted that the United States federal government, by its failure to act against lynching in the United States, was ""guilty of genocide"" under Article II of the UN Genocide Convention.  (Paul Robeson)",,,,,,,,,,,marco
ousmane,Q3187801,30.0,"The Dominican government through the Ministry of Economy, Planning and Development began a process of consulting and coordination with the participation of ""prime movers"" of the Dominican Republic, to define what would be the future of the country, leading to the preparation of a draft law to be submitted to the consideration of the Congress of the Dominican Republic for approval.  (Juan Temístocles Montás)",,,,,,,,,,,marco
ousmane,Q13070148,9.0,"Following the military-led 2021 Myanmar coup d'état, the Myanmar Armed Forces appointed Chit Hlaing as Pe Myint's successor on 1 February 2021.  (Pe Myint)",,,,,,,,,,,marco
ousmane,Q7461048,0.0,Shafiq-ur-Rahman (Urdu:  شفیق الرحمن‎) (9 November 1920 – 19 March 2000) was a Pakistani humorist and a short-story writer of Urdu language.  (Shafiq-ur-Rahman (humorist)),,Shafiq-ur-Rahman,,,,,writer,,,,marco
ousmane,Q7461048,0.0,Shafiq-ur-Rahman (Urdu:  شفیق الرحمن‎) (9 November 1920 – 19 March 2000) was a Pakistani humorist and a short-story writer of Urdu language.  (Shafiq-ur-Rahman (humorist)),,Shafiq-ur-Rahman,,,,,humorist,,,,marco
ousmane,Q7322658,12.0,"In a deal brokered between the Government of Cuba and the Roman Catholic Church, González and 51 other ""Black Spring"" political prisoners and their families were released and sent to Spain.  (Ricardo González Alfonso)",,,sent,,to Spain,,,González,,,marco
ousmane,Q12494572,7.0,"April 6, 2018, he participated in the meeting of the President of Indonesia Joko Widodo with a group of Indonesian writers in the State Palace in Jakarta.  (Lesik Kati Ara)","April 6, 2018",he,participated,,in Jakarta,,,,,,marco
ousmane,Q131814,340.0,"In the Soka Gakkai tradition, we are taught how to sing it.  (Tina Turner)",,,,,,,,,,,marco
ousmane,Q291068,159.0,"She used her access to form a coalition of leaders from black organizations called the Federal Council of Negro Affairs, but which came to be known as the Black Cabinet.  (Mary McLeod Bethune)",,She,form,the Black Cabinet,,,,,,,marco
ousmane,Q291068,159.0,"She used her access to form a coalition of leaders from black organizations called the Federal Council of Negro Affairs, but which came to be known as the Black Cabinet.  (Mary McLeod Bethune)",,,,the Federal Council of Negro Affairs,,,called,a coalition,,,marco
ousmane,Q3565066,3.0,"Wafaa Abed Al Razzaq participated in a lot of poetry festivals and in the foundation of: From the Dairy of the War Chilled, translated from Arabic to French by Hédia DRIDI, co-revised by Josyane De Jesus-Bergey et Mohamed Rafrafi and published by L'Harmattan Edition, Paris December 2008, with the title: Mémoires de l'enfant de la guerre – Ne volez pas ma voix.  (Wafaa Abed Al Razzaq)",December 2008,,published,by L'Harmattan Edition,Paris,,,Mémoires de l'enfant de la guerre – Ne volez pas ma voix,,,marco
ousmane,Q17300342,17.0,"In 2008, she was named the Shirley Carter Burden Visiting Professor of Photography at Harvard University.  (Catherine Lord)",In 2008,,named,at Harvard University,,,,she,,,marco
ousmane,Q3416439,7.0,"She also worked for the Rajiv Gandhi Foundation, where she started up the Interact project for the education of the children of the victims of terrorism in different parts of India.  (Radhika Jha)",,She,,for the Rajiv Gandhi Foundation,,,worked,,,,marco
ousmane,Q3416439,7.0,"She also worked for the Rajiv Gandhi Foundation, where she started up the Interact project for the education of the children of the victims of terrorism in different parts of India.  (Radhika Jha)",,she,,Rajiv Gandhi Foundation,in different parts of India,started,,,,,marco
ousmane,Q27783614,24.0,"As it made its way southward toward Saigon, the dish became sweeter and spicier and more cosmopolitan, with custom additions of sauces and herbs, representing the more capitalist influences of the commercialized south.  (Andrea Nguyen)",,,,,,,,,,,marco
ousmane,Q244968,200.0,"Indian officials who attended the funeral included central minister Subodh Kant Sahay; Vishwa Hindu Parishad (VHP) leader Ashok Singhal; and former Uttar Pradesh assembly speaker and state BJP leader Keshri Nath Tripathi, as well as top local officials.  (Maharishi Mahesh Yogi)",,,,,,,,,,,marco
ousmane,Q1377706,33.0,"After a brief time in Toronto, he moved to Temagami (Tema-Augama), Northern Ontario, where he worked as a fur trapper, a wilderness guide at Keewaydin camp, and a forest ranger.  (Grey Owl)",,he,moved,,to Temagami,,,,,,marco
ousmane,Q1377706,33.0,"After a brief time in Toronto, he moved to Temagami (Tema-Augama), Northern Ontario, where he worked as a fur trapper, a wilderness guide at Keewaydin camp, and a forest ranger.  (Grey Owl)",,he,,,Temagami,,worked,,,,marco
ousmane,Q93356,103.0,He was on holiday in Greece with his wife when the news broke.  (Seamus Heaney),,He,,,in Greece,,was,,,,marco
ousmane,Q130631,187.0,Alan Bass was responsible for several early translations; Bennington and Peggy Kamuf have continued to produce translations of his work for nearly twenty years.  (Jacques Derrida),,,,,,,,,,,marco
ousmane,Q555578,56.0,Many Mexican celebrities and Chespirito's former co-stars took to Twitter to express their feelings and send their condolences to Chespirito's widow and family.  (Chespirito),,,,,,,,,,,marco
ousmane,Q7286238,66.0,"Douglas R. Groothuis, professor of philosophy at Denver Seminary, says that ""Yoga was a Hindu practice structured to help people attain a higher spiritual state within, and that is incompatible with Christian teachings"", further he adds, ""I don't think Christian Yoga works, It's an oxymoron"".  (Rajiv Malhotra)",,,,,,,,,,,marco
ousmane,Q13564524,9.0,He had written many poems about river Pamba since he spent his childhood days playing on the shores of Pampa.  (Nellikkal Muraleedharan),,He,,,,,written,,,,marco
ousmane,Q3645559,3.0,"They currently reside in Los Angeles, United States.  (Bruna Lombardi)",,They,,,"in Los Angeles, United States",,reside,,,,marco
ousmane,Q6372439,50.0,"DeLilah Mosby and her daughter, Selma, meet difficulties with backbone and resolve to make a home for themselves in the city, and Selma has a baby, Chloe.  (Karla F.C. Holloway)",,,,,,,,,,,marco
ousmane,Q20882463,11.0,His parents were British expatriates living in Nigeria where his father was a Methodist lay preacher who travelled around the country evangelising.  (Malcolm Guite),,,,,,,,,,,marco
ousmane,Q1331214,21.0,The Tantanoola Tiger is set in southeast South Australia in 1900.  (Elizabeth Haran),,,,,,,,,,,marco
ousmane,Q6003114,37.0,"Moreno's stories, including the first lines of the final text, were compiled in the volume Cuentos Completos, published by Editorial Norma in 2001, within the collection La Otra Orilla.  (Marvel Moreno)",in 2001,Moreno's stories,published,by Editorial Norma,,,,,,,marco
ousmane,Q3780447,2.0,"Barros was born in Cuiabá, and is regarded by critics as one of the great names of contemporary Brazilian poetry, and by many authors he has been considered the greatest living poet from Brazil.  (Manoel de Barros)",,Barros,born,,in Cuiabá,,,,,,marco
ousmane,Q6177145,1.0,"Jefferson resides in Portland, Oregon.  (Jemiah Jefferson)",,Jefferson,,,"in Portland, Oregon",,resides,,,,marco
ousmane,Q188803,110.0,"From November 1974 through December 1983, 49 consecutive heterotopic heart transplants on 43 patients were performed at Groote Schuur.  (Christiaan Barnard)",,,,,,,,,,,marco
ousmane,Q48868,60.0,This is a theme Illouz has developed especially since becoming a member of the Center for the Study for Rationality at the Hebrew University in 2006.  (Eva Illouz),in 2006,Illouz,,at the Hebrew University,,becoming,member,,,,marco
ousmane,Q1372674,179.0,"He founded the Council for Black Education and Research, an independent project for alternative education involving young adults.  (Es'kia Mphahlele)",,He,founded,the Council for Black Education and Research,,,,,,,marco
ousmane,Q2214373,2.0,"A pensioner at the French Academy in Rome in 2005, he now lives and works in Paris.  (Salim Bachi)",,he,,,in Paris,,lives,,,,marco
ousmane,Q2214373,2.0,"A pensioner at the French Academy in Rome in 2005, he now lives and works in Paris.  (Salim Bachi)",,he,,,in Paris,,works,,,,marco
ousmane,Q511432,30.0,"It is a short, one-act play set in Kentucky, centering around the lives of a couple, Mare and Lucius, who have been married for 110 years.  (Suzan-Lori Parks)",,,,,,,,,,,marco
ousmane,Q231276,210.0,"The concert was organized by Amnesty International and also featured Bono, Damien Rice, Vanessa Redgrave and many others.  (Angélique Kidjo)",,,,,,,,,,,marco
ousmane,Q2722085,206.0,"As the protests turned violent, Bedi received threats that her house would be set on fire.  (Kiran Bedi)",,,received,,,,,Bedi,,,marco
ousmane,Q244968,22.0,"Authors Paul Mason and William Jefferson say that he was born 12 January 1917 in Jabalpur, Central Provinces, British India (now Madhya Pradesh, India).  (Maharishi Mahesh Yogi)",12 January 1917,he,born,,in Jabalpur,,,,,,marco
ousmane,Q982365,16.0,"He traveled widely; besides Iquitos, Lima, and Cuzco in Peru, he has resided in London, Paris, Rome, Madrid, and Barcelona.  (César Calvo)",,he,,,"in London, Paris, Rome, Madrid, and Barcelona",,resided,,,,marco
ousmane,Q16214533,24.0,Netflix has announced a webseries on the book.  (Anand Neelakantan),,,,,,,,,,,marco
ousmane,Q2975569,6.0,He later received an honorary doctorate of laws from Dickinson School of Law in 1978.  (Clarence Muse),in 1978,,received,from Dickinson School of Law,,,,He,,,marco
ousmane,Q6450075,18.0,"In 2018, Dawes was elected a Chancellor of the Academy of American Poets.  (Kwame Dawes)",In 2018,,elected,of the Academy of American Poets,,,,Dawes,,,marco
ousmane,Q25324743,4.0,"He attended college at Western Kentucky University, then earned an MFA at Rutgers University–Newark.  (Saeed Jones)",,He,,at Western Kentucky University,,,attended,,,,marco
ousmane,Q61483352,3.0,She escaped the country and spent several years travelling through Africa before being granted a refugee visa to the United States.  (Clemantine Wamariya),,She,escaped,,,,,,,,marco
ousmane,Q27618910,8.0,"Other important works include: Tras las Huellas de Mi Olvido, La Sonámbula and Tu Ropa en mi Armario.  (Bibiana Camacho)",,,,,,,,,,,marco
ousmane,Q56469858,15.0,"While working as an assistant librarian at Tougaloo in 1966, Brocks-Shedd met writer-in-residence Audre Lorde; Lorde encouraged her to submit her poems to the college's literary magazine, Pound.  (Virgia Brocks-Shedd)",in 1966,Brocks-Shedd,,,at Tougaloo,,working,,,,marco
ousmane,Q5321846,13.0,"He is former chair of the Humanities Council of Washington, D.C., and has served on the boards of the AWP, the Edmund Burke School, PEN American Center, PEN/Faulkner Foundation, and the Washington Area Lawyer for the Arts (WALA).  (E. Ethelbert Miller)",,He,,"of the Humanities Council of Washington, D.C.",,,chair,,,,marco
ousmane,Q2293786,1.0,"He lived in Milan, where he amassed a large collection of Dada and Surrealist art, including many works by personal friends such as Marcel Duchamp, André Breton, Man Ray, and Jean Arp.  (Arturo Schwarz)",,He,,,in Milan,,lived,,,,marco
ousmane,Q2293786,1.0,"He lived in Milan, where he amassed a large collection of Dada and Surrealist art, including many works by personal friends such as Marcel Duchamp, André Breton, Man Ray, and Jean Arp.  (Arturo Schwarz)",,he,,,in Milan,,amassed,,,,marco
ousmane,Q356719,11.0,"Following the Nissan financial turnaround, in 2002 Fortune awarded him Asia Businessman of the Year.  (Carlos Ghosn)",in 2002,,awarded,Fortune,,,,him,,,marco
ousmane,Q6917645,1.0,He was born in Srinagar to a Kashmiri Hindu family and attended Jammu and Kashmir University.  (Moti Lal Kemmu),,He,,Jammu and Kashmir University,,,attended,,,,marco
ousmane,Q11276875,6.0,Katoppo died in Bogor on 12 October 2007.  (Marianne Katoppo),on 12 October 2007,Katoppo,died,,in Bogor,,,,,,marco
ousmane,Q164886,53.0,"Poland joined Iceland and Slovakia as the only three countries in Europe to offer HIV testing prior to entry for all migrants on arrival, with other EU countries limiting their tests to specific ethnic groups, mostly from sub-Saharan Africa, Asia, and Eastern Europe.  (Simon Mol)",,,,,,,,,,,marco
ousmane,Q12455087,40.0,"Suee explores a number of areas in the lives of injecting drug users including treatment, care, peer and community support, rehabilitation and the workplace, and was produced in partnership with the Mumbai-based NGO Sankalp Rehabilitation Trust.  (Sai Paranjpye)",,,,,,,,,,,marco
ousmane,Q7281962,22.0,"The high point of the Urdu Language Center was organizing the First International Urdu Conference, was held at the UNO's headquarters, on 24 June 2000, under the auspices of the United Nations.  (Raees Warsi)",,,,,,,,,,,marco
ousmane,Q509662,24.0,"In the spring of 2015, he joined The New York Times Magazine to write a column on language.  (Colson Whitehead)",In the spring of 2015,he,joined,The New York Times Magazine,,,,,,,marco
ousmane,Q509662,24.0,"In the spring of 2015, he joined The New York Times Magazine to write a column on language.  (Colson Whitehead)",,he,,The New York Times Magazine,,,write,,,,marco
ousmane,Q334134,3.0,"He spent his childhood and youth in Port Said; there he attended a French high school, leaving in 1947 with a Baccalauréat.   (Samir Amin)",,he,,,in Port Said,,attended,,,,marco
ousmane,Q22003562,29.0,"Carlos was diagnosed with stage 4 colon cancer in September 2016 and died in the Sholom Home East Hospice in St. Paul, Minnesota on December 29, 2016.  (Laurie Carlos)",in September 2016,,diagnosed,,,,,Carlos,,,marco
ousmane,Q22003562,29.0,"Carlos was diagnosed with stage 4 colon cancer in September 2016 and died in the Sholom Home East Hospice in St. Paul, Minnesota on December 29, 2016.  (Laurie Carlos)","on December 29, 2016",Carlos,died,in the Sholom Home East Hospice,"in St. Paul, Minnesota",,,,,,marco
ousmane,Q3805618,4.0,"He received his BA in education from the University of London and worked for a time as a lecturer in Malawi before returning to the UK to study linguistics at University College, London in the early 1980s.  (Jack Mapanje)",,,received,from the University of London,,,,He,,,marco
