annotator,author,sent_id,text,REP-EVENT,STATE,LOC,ORG,WRITER-PA,EVENT,WRITER-AG,TIME,ASP-EVENT
rossana,Q8064245,1.0,He primarily writes in Urdu but has also written in Brahui and Balochi.  (Zafar Mairaj),,written,,,,,He,,
rossana,Q16217667,32.0,"The song ""Mis Dos Mundos"" was performed by Maiah Ocando, written by Torrelles, Daniel Norman and the L.A band Elah, and produced by Torrelles at the Paramount Recording Studios in Hollywood, California.  (Gabriel Torrelles)",,,,,"The song ""Mis Dos Mundos""",performed,,,
rossana,Q16217667,32.0,"The song ""Mis Dos Mundos"" was performed by Maiah Ocando, written by Torrelles, Daniel Norman and the L.A band Elah, and produced by Torrelles at the Paramount Recording Studios in Hollywood, California.  (Gabriel Torrelles)",,,,,,written,by Torrelles,,
rossana,Q16217667,32.0,"The song ""Mis Dos Mundos"" was performed by Maiah Ocando, written by Torrelles, Daniel Norman and the L.A band Elah, and produced by Torrelles at the Paramount Recording Studios in Hollywood, California.  (Gabriel Torrelles)",,,"in Hollywood, California",at the Paramount Recording Studios,,produced,by Torrelles,,
rossana,Q6707618,4.0,"At the age of nine, her family moved to Ghana, where she continued her education at Akosombo International School.  (Lydia Forson)",,,to Ghana,,,moved,her family,At the age of nine,
rossana,Q6707618,4.0,"At the age of nine, her family moved to Ghana, where she continued her education at Akosombo International School.  (Lydia Forson)",,education,,at Akosombo International School,,,she,At the age of nine,continued
rossana,Q10831190,29.0,"There, he worked as a head of Cứu quốc Việt Bắc newspaper (Viet Bac National Salvation and as an editor-in-chief for Cứu quốc magazine.  (Tô hoài)",,worked,,Cứu quốc Việt Bắc newspaper,,,he,,
rossana,Q10831190,29.0,"There, he worked as a head of Cứu quốc Việt Bắc newspaper (Viet Bac National Salvation and as an editor-in-chief for Cứu quốc magazine.  (Tô hoài)",,worked,,for Cứu quốc magazine,,,he,,
rossana,Q4801687,12.0,"However, Távola formally left the Brazilian Social Democracy Party in 1999 as the result of a dispute with Brazilian President Fernando Henrique Cardoso.  (Artur da Távola)",,,,the Brazilian Social Democracy Party,,left,Távola,in 1999,
rossana,Q324321,19.0,"His most recent novel, Le Méridional (2015), has been praised as ""a fine portrayal of the life of an African long residing in France, narrated by a writer whose life bears some resemblances to Lopes's own"".  (Henri Lopès)",,,,,"His most recent novel, Le Méridional",praised,,2015,
rossana,Q6959304,5.0,"Aunt Eliza Jones took Catherine to England in 1837 where she furthered her education while Peter, known as Kahkewaquonaby (Sacred Feathers), a Chief of the Credit Band, delivered a Petition and Wampum Belt to Queen Victoria.  (Nahnebahwequa)",,,to England,,Catherine,took,,in 1837,
rossana,Q6959304,5.0,"Aunt Eliza Jones took Catherine to England in 1837 where she furthered her education while Peter, known as Kahkewaquonaby (Sacred Feathers), a Chief of the Credit Band, delivered a Petition and Wampum Belt to Queen Victoria.  (Nahnebahwequa)",,education,England,,,,she,1837,furthered
rossana,Q132701,146.0,In January 2020 the Sir Arthur Lewis Community College in St. Lucia announced that Walcott's books on Caribbean Literature and poetry have been donated to its Library.  (Derek Walcott),donated,,in St. Lucia,Library,Walcott's books on Caribbean Literature and poetry,,,In January 2020,
rossana,Q3101906,75.0,He wrote a syndicated column (1965–77) for the North American Newspaper Alliance.  (George Schuyler),,,,for the North American Newspaper Alliance,,wrote,He,1965–77,
rossana,Q364214,134.0,"MTV ranked it at number one in ""The Greatest Hip-Hop Albums of All Time"", stating it raised the standards of hip hop ""both sonically and poetically"" and described it as ""captivating, profound, innovative and instantly influential"".  (Rakim)",raised,,,,,,it,,
rossana,Q364214,134.0,"MTV ranked it at number one in ""The Greatest Hip-Hop Albums of All Time"", stating it raised the standards of hip hop ""both sonically and poetically"" and described it as ""captivating, profound, innovative and instantly influential"".  (Rakim)",,,,,it,ranked,,,
rossana,Q64200597,1.0,"He completed his doctorate in literature and linguistics from Paris XIII University with a dissertation on the work his literary mentor, Venezuela writer Juan Carlos Méndez Guédez.  (Rodrigo Blanco Calderón)",,,,from Paris XIII University,,completed,He,,
rossana,Q3632745,3.0,"Starting in the 1950s, a newly independent India was going through societal transformations like urbanization and industrialization.  (Manu Bhandari)",,,,,,,,,
rossana,Q938719,0.0,"Rosely Roth (August 21, 1959 in São Paulo, São Paulo, Brazil – August 28, 1990 in São Paulo, São Paulo, Brazil) is considered one of the pioneers in the history of the LGBT movement of Brazil (known in Portuguese as the Movimento Homosexual Brasileiro).   (Rosely Roth)",,,of Brazil,the Movimento Homosexual Brasileiro,Rosely Roth,considered,,"August 28, 1990",
rossana,Q158060,364.0,"The NAACP proposal received support from China, India, and the Soviet Union, but it was virtually ignored by the other major powers, and the NAACP proposals were not included in the final United Nations charter.  (W.E.B. Du Bois)",,,,,,,,,
rossana,Q98566636,8.0,"Passed as Public Law 101-185, it established the National Museum of the American Indian as ""a living memorial to Native Americans and their traditions"".  (Jacki Thompson Rand)",,,,,,,,,
rossana,Q895915,18.0,Sainath was awarded the 2007 Ramon Magsaysay Award for Journalism Literature and Creative Communications Arts.  (Palagummi Sainath),,,,Ramon Magsaysay Award for Journalism Literature and Creative Communications Arts,Sainath,awarded,,2007,
rossana,Q307211,1.0,"He served as Chairman of the Presidium of the Supreme People's Council (head of state) and founder, chief ideologue, and first leader of the Yemeni Socialist Party from 21 December 1978 to 21 April 1980.  (Abdul Fattah Ismail)",,served,,Yemeni Socialist Party,,,He,from 21 December 1978 to 21 April 1980,
rossana,Q307211,1.0,"He served as Chairman of the Presidium of the Supreme People's Council (head of state) and founder, chief ideologue, and first leader of the Yemeni Socialist Party from 21 December 1978 to 21 April 1980.  (Abdul Fattah Ismail)",,,,the Supreme People's Council,,served,He,,
rossana,Q88210581,16.0,This book was published by Bashir & Sons Karachi.  (Badam Natawan),,,,Bashir & Sons Karachi,This book,published,,,
rossana,Q731775,17.0,"In 1986, Cazuza was featured in the AIDS benefit album Red Hot + Rio produced by the Red Hot Organization, performing the song ""Preciso Dizer que Te Amo"" in a duet with Bebel Gilberto.  (Cazuza)",,,,the Red Hot Organization,Cazuza,featured,,In 1986,
rossana,Q66580063,10.0,She has been in involved with medical research based on clinical neuroscience using the virtual reality technology at the Sahlgrenska University Hospital.  (Netha Hussain),,,at the Sahlgrenska University Hospital.,,She,involved,,,
rossana,Q6099288,6.0,"She later moved to the island of São Vicente and lived in her uncle's house, the writer António Aurélio Gonçalves, where she started to write stories and folklore books from Cape Verde, because she knew and liked to tell him.   (Ivone Ramos)",,liked,,,,,she,,
rossana,Q6099288,6.0,"She later moved to the island of São Vicente and lived in her uncle's house, the writer António Aurélio Gonçalves, where she started to write stories and folklore books from Cape Verde, because she knew and liked to tell him.   (Ivone Ramos)",,knew,,,,,she,,
rossana,Q6099288,6.0,"She later moved to the island of São Vicente and lived in her uncle's house, the writer António Aurélio Gonçalves, where she started to write stories and folklore books from Cape Verde, because she knew and liked to tell him.   (Ivone Ramos)",,to write,from Cape Verde,,,,she,,started
rossana,Q6099288,6.0,"She later moved to the island of São Vicente and lived in her uncle's house, the writer António Aurélio Gonçalves, where she started to write stories and folklore books from Cape Verde, because she knew and liked to tell him.   (Ivone Ramos)",,lived,,,,,She,,
rossana,Q6099288,6.0,"She later moved to the island of São Vicente and lived in her uncle's house, the writer António Aurélio Gonçalves, where she started to write stories and folklore books from Cape Verde, because she knew and liked to tell him.   (Ivone Ramos)",,,to the island of São Vicente,,,moved,She,later,
rossana,Q6236380,22.0,"Bowen continued writing and producing for many long-running drama strands on both the BBC and ITV throughout the 1970s, including ITV Play of the Week, Armchair Thriller, the same network's Playhouse and Weekend Playhouse.  (John Griffith Bowen)",,writing,,the BBC and ITV,,,Bowen,throughout the 1970s,continued
rossana,Q52274665,7.0,"Imady is also the author, and coauthor, of several works on Syria and Sufism, including:  The Rise and Fall of Muslim Civil Society;The Syrian Uprising Domestic Origins and Early Trajectory; Syria at War, five Years On; ""Organisationally Secular: Damascene Islamist Movements and the Syrian Uprising""; ""How a microfinance network could have preempted the Syrian uprising""; and When You're Shoved from the Right, Look to Your Left: Metaphors of Islamic Humanism.  (Omar Imady)",,is,,,,,Imady,,
rossana,Q1057727,2.0,"He spent his childhood and adolescence between Italy, Germany and France.  (Herbert Pagani)",,spent,"between Italy, Germany and France.",,,,He,,
rossana,Q2417449,61.0,On 26 February Kaputikyan and Balayan met Soviet leader Mikhail Gorbachev in the Kremlin to discuss the Karabakh issue.  (Silva Kaputikyan),,,in the Kremlin,,,met,Kaputikyan,On 26 February,
rossana,Q379962,9.0,He participated in these demonstrations that ended with the massacre of between six and eight (according to nationalists forty-five) thousand Algerians by the French army and police in the Sétif and Guelma massacre.  (Yacine Kateb),,,,,,participated,He,,
rossana,Q12471706,4.0,Subjects of his articles include the history of culture in Jakarta.  (Alwi Shahab),,include,in Jakarta,,,,Subjects of his articles,,
rossana,Q5715914,4.0,"After living in many other places she moved to Southampton in 1980 with her husband Paul Carter, a photographer, and their three children Jack, Rose and Polly.  (Henrietta Branford)",,,to Southampton,,,moved,she,in 1980,
rossana,Q5715914,4.0,"After living in many other places she moved to Southampton in 1980 with her husband Paul Carter, a photographer, and their three children Jack, Rose and Polly.  (Henrietta Branford)",,living,,,,,she,,
rossana,Q19665827,12.0,"Combat Lore: The Indian Air Force, 1930–1945 takes ""the reader through the birth pangs of the Indian Air Force and provides a riveting account of its 'growing-up' years.""  (Somnath Sapru)",,,,,,takes,"Combat Lore: The Indian Air Force, 1930–1945",,
rossana,Q1569198,9.0,She was not even twenty years of age when she was awarded second place in a poetry competition organized by the newspaper Masis.  (Haykanush Mark),,,,the newspaper Masis,she,awarded,,,
rossana,Q1569198,9.0,She was not even twenty years of age when she was awarded second place in a poetry competition organized by the newspaper Masis.  (Haykanush Mark),,was,,,,,She,,
rossana,Q7345198,23.0,"He traveled extensively in Central Europe during the early 1990s, shortly after the Revolutions of 1989 had created unprecedented democratization of the region, but which also exposed ethnic friction.  (Robert Hamerton-Kelly)",,traveled,in Central Europe,,,,He,during the early 1990s,
rossana,Q525304,34.0,"In 2012, he played the lead role of Stanley in the Broadway revival of A Streetcar Named Desire.  (Blair Underwood)",,,,,,played,he,In 2012,
rossana,Q98201920,43.0,"If this work is not done quickly, the cultural awakening in Gondwana will soon go into a dormancy.  (Motiravan Kangali)",,,,,,,,,
rossana,Q5642978,4.0,"In 1868, she began a course of study in Wilberforce University, Ohio, from which she graduated in 1873 with the degree of Bachelor of Science.   (Hallie Quinn Brown)",,,,,,graduated,she,in 1873,
rossana,Q5642978,4.0,"In 1868, she began a course of study in Wilberforce University, Ohio, from which she graduated in 1873 with the degree of Bachelor of Science.   (Hallie Quinn Brown)",,study,,"in Wilberforce University, Ohio",,,she,In 1868,began
rossana,Q4901363,16.0,"He was also awarded the ""Certificate of Honour"" by the President of India Pratibha Devisingh Patil on 10 July 2008.  (Bhaskaracharya Tripathi)",,,,,He,awarded,,on 10 July 2008,
rossana,Q5565082,14.0,"She wrote a monthly column for many years on different aspects of culture and their political and social underpinnings, in The Telegraph, Kolkata.  (Githa Hariharan)",,wrote,Kolkata,in The Telegraph,,,She,for many years,
rossana,Q230578,24.0,"In 1968, he received the title of Cathedratic Professor, holding the chair of Political Science at Universidade de São Paulo.  (Fernando Henrique Cardoso)",,,,at Universidade de São Paulo,,received,he,In 1968,
rossana,Q656292,39.0,"In 2006, he was awarded the title of Doctor Honoris Causa from the Federal University of Ceara, but only received it on June 10, 2010 on the eve of his 83rd birthday.  (Ariano Suassuna)",,,,,,received,he,"on June 10, 2010",
rossana,Q656292,39.0,"In 2006, he was awarded the title of Doctor Honoris Causa from the Federal University of Ceara, but only received it on June 10, 2010 on the eve of his 83rd birthday.  (Ariano Suassuna)",,,,the Federal University of Ceara,he,awarded,,In 2006,
rossana,Q6403634,22.0,"Since her graduation, Corthron has received commissions for workshops, readings, and productions throughout the country.  (Kia Corthron)",,,,,Corthron,received,,,
rossana,Q6403634,22.0,"Since her graduation, Corthron has received commissions for workshops, readings, and productions throughout the country.  (Kia Corthron)",,,,,,graduation,her,,
rossana,Q237194,2.0,"In 2004, Entertainment Weekly named Sykes as one of the 25 funniest people in America.  (Wanda Sykes)",,,in America,,Sykes,named,,In 2004,
rossana,Q68100107,2.0,"Born and raised in the Babylonian province Al-Hindiya, Hindawi moved to Baghdad in the 60s, where he studied at the University of Baghdad.  (Hussain Hindawi)",,studied,at the University of Baghdad,,,,Hindawi,,
rossana,Q68100107,2.0,"Born and raised in the Babylonian province Al-Hindiya, Hindawi moved to Baghdad in the 60s, where he studied at the University of Baghdad.  (Hussain Hindawi)",,,to Baghdad,,,moved,Hindawi,in the 60s,
rossana,Q68100107,2.0,"Born and raised in the Babylonian province Al-Hindiya, Hindawi moved to Baghdad in the 60s, where he studied at the University of Baghdad.  (Hussain Hindawi)",,,in the Babylonian province Al-Hindiya,,Hindawi,raised,,,
rossana,Q68100107,2.0,"Born and raised in the Babylonian province Al-Hindiya, Hindawi moved to Baghdad in the 60s, where he studied at the University of Baghdad.  (Hussain Hindawi)",,,,in the Babylonian province Al-Hindiya,,Born,Hindawi,,
rossana,Q7259915,37.0,"Smarakasilakal (Memorial Stones), published in 1977, is set in a region near Vatakara where he grew up.  (Punathil Kunjabdulla)",,,near Vatakara,,,grew up,he,,
rossana,Q7259915,37.0,"Smarakasilakal (Memorial Stones), published in 1977, is set in a region near Vatakara where he grew up.  (Punathil Kunjabdulla)",,,,,Smarakasilakal (Memorial Stones),published,,in 1977,
rossana,Q196547,1.0,He was teaching Urdu in  Aligarh Muslim University.  (Bashir Badr),,,,in Aligarh Muslim University,,,He,,
rossana,Q2614690,5.0,"His brother died on the gallows in 1966, but Muhammad's life was spared and he, along with other members of the Muslim Brotherhood  took refuge in Saudi Arabia.  (Muhammad Qutb)",,,in Saudi Arabia,,,took,he,,
rossana,Q2614690,5.0,"His brother died on the gallows in 1966, but Muhammad's life was spared and he, along with other members of the Muslim Brotherhood  took refuge in Saudi Arabia.  (Muhammad Qutb)",,,,,Muhammad's,spared,,,
rossana,Q465624,26.0,She would win Phi Beta Kappa honors.  (Jessie Redmon Fauset),,,,,,win,She,,
rossana,Q24809972,29.0,The International Academy of Cardiovascular Sciences awarded him their Norman Alpert Award for Established Investigators in Cardiovascular Sciences to him in 2005 and the Government of India included him in the Republic Day Honours list of 2006 for the civilian honour of the Padma Bhushan.  (K. K. Talwar),,,,,him,included,,of 2006,
rossana,Q24809972,29.0,The International Academy of Cardiovascular Sciences awarded him their Norman Alpert Award for Established Investigators in Cardiovascular Sciences to him in 2005 and the Government of India included him in the Republic Day Honours list of 2006 for the civilian honour of the Padma Bhushan.  (K. K. Talwar),,,,Norman Alpert Award for Established Investigators in Cardiovascular Sciences,him,awarded,,in 2005,
rossana,Q6944696,2.0,"He holds a B.A. degree in English and African Studies from Kent State University (1976), where he studied with Halim El-Dabh and Fela Sowande.  (Mwatabu S. Okantah)",,studied,,,,,he,,
rossana,Q6944696,2.0,"He holds a B.A. degree in English and African Studies from Kent State University (1976), where he studied with Halim El-Dabh and Fela Sowande.  (Mwatabu S. Okantah)",,holds,,from Kent State University,,,He,1976,
rossana,Q378858,130.0,"His UK publisher, Jamie Byng, called him ""one of the most inspiring people I've ever met"".  (Gil Scott-Heron)",,,,,him,called,,,
rossana,Q378858,130.0,"His UK publisher, Jamie Byng, called him ""one of the most inspiring people I've ever met"".  (Gil Scott-Heron)",,,,,him,called,,,
rossana,Q3473157,9.0,"Sapho returned to music in 1985 with Passions, passons, which saw her leaving the rock sound of her previous albums to embrace the Middle Eastern sounds she had grown up with, leading to a series of concerts at Le Bataclan (Paris).  (Sapho)",,,Paris,at Le Bataclan,,leading,she,,
rossana,Q3473157,9.0,"Sapho returned to music in 1985 with Passions, passons, which saw her leaving the rock sound of her previous albums to embrace the Middle Eastern sounds she had grown up with, leading to a series of concerts at Le Bataclan (Paris).  (Sapho)",,,,,,grown,she,,
rossana,Q3473157,9.0,"Sapho returned to music in 1985 with Passions, passons, which saw her leaving the rock sound of her previous albums to embrace the Middle Eastern sounds she had grown up with, leading to a series of concerts at Le Bataclan (Paris).  (Sapho)",,,,,,leaving,her,,
rossana,Q3473157,9.0,"Sapho returned to music in 1985 with Passions, passons, which saw her leaving the rock sound of her previous albums to embrace the Middle Eastern sounds she had grown up with, leading to a series of concerts at Le Bataclan (Paris).  (Sapho)",,,,,,returned,Sapho,in 1985,
rossana,Q56824380,4.0,"Qualifying as an Associate of the Library Association in 1963, she returned to The Gambia to take charge of the National Library of The Gambia.  (Sally Njie)",,,the National Library of The Gambia,,,returned,she,,
rossana,Q56824380,4.0,"Qualifying as an Associate of the Library Association in 1963, she returned to The Gambia to take charge of the National Library of The Gambia.  (Sally Njie)",,,,,,Qualifying,she,in 1963,
rossana,Q5021365,2.0,He founded the Centre for the Study of Human Rights at the London School of Economics.  (Stanley Cohen),,,at the London School of Economics,the Centre for the Study of Human Rights,,founded,He,,
rossana,Q48041071,32.0,"Gloudon was inducted into the Jamaican Press Association Hall of Fame in 2013, continuing to write as a journalist for The Jamaica Observer in addition to her role at the LTM.  (Barbara Gloudon)",,role,at the LTM,,,,her,,
rossana,Q48041071,32.0,"Gloudon was inducted into the Jamaican Press Association Hall of Fame in 2013, continuing to write as a journalist for The Jamaica Observer in addition to her role at the LTM.  (Barbara Gloudon)",,to write,,for The Jamaica Observer,Gloudon,,,,continuing
rossana,Q48041071,32.0,"Gloudon was inducted into the Jamaican Press Association Hall of Fame in 2013, continuing to write as a journalist for The Jamaica Observer in addition to her role at the LTM.  (Barbara Gloudon)",,,,into the Jamaican Press Association Hall of Fame,Gloudon,inducted,,in 2013,
rossana,Q13140148,2.0,"The government of Pakistan awarded him the Pride of Performance award in 2003 and 2018, and the Sitara-i-Imtiaz in 2016.  (Shahbaz Malik)",,,,the Sitara-i-Imtiaz,him,awarded,,in 2016,
rossana,Q13140148,2.0,"The government of Pakistan awarded him the Pride of Performance award in 2003 and 2018, and the Sitara-i-Imtiaz in 2016.  (Shahbaz Malik)",,,,Pride of Performance award,him,awarded,,in 2003 and 2018,
rossana,Q505966,5.0,"On April 12, 2001, travelling to Tunisia's Ministry of Culture to propose the creation of a theater, Tounsi was killed in a car accident aged 56.  (Mahmoud Tounsi)",,,,,Tounsi,killed,,,
rossana,Q505966,5.0,"On April 12, 2001, travelling to Tunisia's Ministry of Culture to propose the creation of a theater, Tounsi was killed in a car accident aged 56.  (Mahmoud Tounsi)",,travelling,,to Tunisia's Ministry of Culture,,,Tounsi,"On April 12, 2001",
rossana,Q5443624,29.0,"During this period, from about 1912 to 1925, Johnson established connections in Chicago with Harriet Monroe, and several of his poems were accepted for the poetry magazine Poetry.    (Fenton Johnson)",,,,Poetry,several of his poems,accepted,,,
rossana,Q5443624,29.0,"During this period, from about 1912 to 1925, Johnson established connections in Chicago with Harriet Monroe, and several of his poems were accepted for the poetry magazine Poetry.    (Fenton Johnson)",,,,,,established,Johnson,from about 1912 to 1925,
rossana,Q432552,17.0,"Additionally, KRS-One had taken offense to ""The Bridge"", a song by Marley Marl's protege, MC Shan (KRS-One later reconciled with Marley Marl, producing an album with him in 2007 titled Hip Hop Lives).  (KRS-One)",,,,,,producing,KRS-One,in 2007,
rossana,Q432552,17.0,"Additionally, KRS-One had taken offense to ""The Bridge"", a song by Marley Marl's protege, MC Shan (KRS-One later reconciled with Marley Marl, producing an album with him in 2007 titled Hip Hop Lives).  (KRS-One)",,,,,,reconciled,KRS-One,later,
rossana,Q432552,17.0,"Additionally, KRS-One had taken offense to ""The Bridge"", a song by Marley Marl's protege, MC Shan (KRS-One later reconciled with Marley Marl, producing an album with him in 2007 titled Hip Hop Lives).  (KRS-One)",,,,,,taken,KRS-One,,
rossana,Q5285283,5.0,"He attended Dwight Preparatory School, and Columbia University.   (Djelloul Marbrook)",,,,Columbia University,,attended,He,,
rossana,Q5285283,5.0,"He attended Dwight Preparatory School, and Columbia University.   (Djelloul Marbrook)",,attended,,Dwight Preparatory School,,,He,,
rossana,Q28828326,2.0,"Born and raised in Cuba, she sought exile in New York because of Cuban communist rule.  (Lourdes Casal)",,,,,,sought,she,in New York,
rossana,Q28828326,2.0,"Born and raised in Cuba, she sought exile in New York because of Cuban communist rule.  (Lourdes Casal)",,raised,in Cuba,,,,she,,
rossana,Q28828326,2.0,"Born and raised in Cuba, she sought exile in New York because of Cuban communist rule.  (Lourdes Casal)",,,in Cuba,,she,Born,,,
rossana,Q7922743,27.0,"She eventually settled in New York City, where she pursued acting, making it to Broadway, where she played Big Pearl in Mandingo.  (Vertamae Grosvenor)",,,where,,,played,she,,
rossana,Q7922743,27.0,"She eventually settled in New York City, where she pursued acting, making it to Broadway, where she played Big Pearl in Mandingo.  (Vertamae Grosvenor)",,,Broadway,,,making,she,,
rossana,Q7922743,27.0,"She eventually settled in New York City, where she pursued acting, making it to Broadway, where she played Big Pearl in Mandingo.  (Vertamae Grosvenor)",,,in New York City,,,settled,She,,
rossana,Q7922743,27.0,"She eventually settled in New York City, where she pursued acting, making it to Broadway, where she played Big Pearl in Mandingo.  (Vertamae Grosvenor)",,,,,,pursued,she,,
rossana,Q3506508,10.0,In 2005 the state of Michoacán awarded him the first Erendira State Prize for the Arts.  (Homero Aridjis),,,,Erendira State Prize for the Arts,him,awarded,,In 2005,
rossana,Q48559,16.0,"Following the book’s publication in Egypt, a group issued a fatwa threatening Abdel-Samad and he was put under police protection.  (Hamed Abdel-Samad)",,,,,he,put,,,
rossana,Q48559,16.0,"Following the book’s publication in Egypt, a group issued a fatwa threatening Abdel-Samad and he was put under police protection.  (Hamed Abdel-Samad)",,,,,Abdel-Samad,threatening,,,
rossana,Q48559,16.0,"Following the book’s publication in Egypt, a group issued a fatwa threatening Abdel-Samad and he was put under police protection.  (Hamed Abdel-Samad)",,,,,the book’s,publication,,in Egypt,
rossana,Q1808983,12.0,The books are set in prehistoric Europe during the New Stone Age.  (Michelle Paver),,are,in prehistoric Europe,,,,The books,during the New Stone Age,
rossana,Q6959260,3.0,He moved to Egypt in 1954 and graduated from Cairo University with a Bachelor of Laws in 1958.  (Nahid al-Rayyis),,,,from Cairo University,,graduated,He,in 1958,
rossana,Q6959260,3.0,He moved to Egypt in 1954 and graduated from Cairo University with a Bachelor of Laws in 1958.  (Nahid al-Rayyis),,,to Egypt,,,moved,He,in 1954,
rossana,Q64707031,12.0,"Publishers Weekly says The Imposter, a Drummond novel set in 19th-century London, ""has the razzle-dazzle plotting of a good mystery and the taut pacing of a good thriller"".  (June Drummond)",has,,,,,,"The Imposter, a Drummond novel",,
rossana,Q455286,30.0,"Although Cape Town was then of a similar size to Durban, it was vastly more diverse and sophisticated, with a much longer history.  (Bessie Emery Head)",,,,,,,,,
rossana,Q230578,82.0,"He lectures at Brown University about Brazilian economic policy, urban development, and deforestation and has taught as a guest lecturer at Sciences Po in Paris.  (Fernando Henrique Cardoso)",,,in Paris,at Sciences Po,,taught,He,,
rossana,Q230578,82.0,"He lectures at Brown University about Brazilian economic policy, urban development, and deforestation and has taught as a guest lecturer at Sciences Po in Paris.  (Fernando Henrique Cardoso)",,lectures,,at Brown University,,,He,,
rossana,Q7329740,33.0,The book was co-winner with Roberta Rees's Beneath the Faceless Mountain of the Georges Bugnet Award for Novel at the 1995 Writers' Guild of Alberta's Alberta Literary Awards gala.  (Richard Wagamese),,was,,Writers' Guild of Alberta's Alberta Literary Awards,,,book,1995,
rossana,Q11285577,44.0,"The United Press agency reported, following his father's funeral in 1964 that, since graduating, ""the tall handsome young man ... has made few public appearances.""  (Arthur McArthur IV)",made,,,,,,the tall handsome young man,in 1964,
rossana,Q59630831,24.0,"Published by Michael Joseph Ltd. in the United Kingdom, the book became an instant bestseller, selling millions of copies around the world.  (John Gordon Davis)",,,around the world,,,selling,the book,,
