annotator,author,sent_id,text,WRITER-AG,EVENT,STATE,TIME,LOC,WRITER-PA,ORG,REP-EVENT
enrico,Q3507232,8.0,"In 1958, she completed Under the Sun, a full-length stage play, which was bought by the Royal Court Theatre in London. ",she,completed,,In 1958,,,the Royal Court Theatre in London,
enrico,Q319871,294.0,"Opponents called this network the ""Tuskegee Machine"". ",,,,,,,,
enrico,Q21540402,33.0,"As Sanskrit is the most conservative and least changed of the Indo-Aryan languages, Odia is the conservative and advance updated languages as well that linguists must understand its nature and development. ",,,,,,,,
enrico,Q1058,369.0,"On 29 September 2016, the Indian Army stated that it had conducted a surgical strike on terror launch pads in Azad Kashmir. ",,,,,,,,
enrico,Q4661494,6.0,"In 2003, The Guardian reported this university as a scam where one could buy a degree for as cheaply as £150 within 28 days. ",,,,,,,,
enrico,Q286022,17.0,"Lynn's parents divorced when he was six years old, resulting in his father moving to Denver, Colorado. ",,,,,,,,
enrico,Q1058,421.0,"In March 2021, Modi received his first COVID-19 vaccine dose at the All India Institute of Medical Sciences, New Delhi. ",,received,,In March 2021,New Delhi,Modi,the All India Institute of Medical Sciences,
enrico,Q604927,8.0,Amatmoekrim has also published short stories in De Groene Amsterdammer and Vrij Nederland. ,Amatmoekrim,published,,,,,in De Groene Amsterdammer,
enrico,Q604927,8.0,Amatmoekrim has also published short stories in De Groene Amsterdammer and Vrij Nederland. ,Amatmoekrim,published,,,,,Vrij Nederland,
enrico,Q459791,5.0,She co-founded Trois magazine and in 1989 launched the Festival littéraire de Trois. ,She,co-founded,,,,,Trois magazine,
enrico,Q459791,5.0,She co-founded Trois magazine and in 1989 launched the Festival littéraire de Trois. ,She,launched,,in 1989,,,the Festival littéraire de Trois,
enrico,Q1064470,11.0,"Although the play enjoyed a long run, Fuller has said it never played on Broadway because he refused to drop the last line, ""You'll have to get used to Black people being in charge."" ",Fuller,,played,,on Broadway,,,said
enrico,Q1064470,11.0,"Although the play enjoyed a long run, Fuller has said it never played on Broadway because he refused to drop the last line, ""You'll have to get used to Black people being in charge."" ",Fuller,drop,,,,,,refused
enrico,Q1064470,11.0,"Although the play enjoyed a long run, Fuller has said it never played on Broadway because he refused to drop the last line, ""You'll have to get used to Black people being in charge."" ",the play,,enjoyed,,,,,
enrico,Q61995846,12.0,"During his training, he set up a group named ""Kovilpatti Study League"" and trained village students for competitive examinations. ",his,,training,,,,,
enrico,Q61995846,12.0,"During his training, he set up a group named ""Kovilpatti Study League"" and trained village students for competitive examinations. ",he,set,,,,,,
enrico,Q61995846,12.0,"During his training, he set up a group named ""Kovilpatti Study League"" and trained village students for competitive examinations. ",he,trained,,,,,,
enrico,Q44461,202.0,"In February 2010, Dawkins was named to the Freedom From Religion Foundation's Honorary Board of distinguished achievers. ",,named,,In February 2010,,Dawkins,,
enrico,Q2508883,3.0,"Wesley grew up in Ashford, Connecticut. ",Wesley,,grew up,,"in Ashford, Connecticut",,,
enrico,Q5515838,8.0,"Although Village in Uhuru was written and first published in English, Ruhumbika decided to write all of his subsequent novels in Swahili, a decision similar to that of Kenyan writer Ngũgĩ wa Thiong'o. His Swahili-language novels, which mainly cover the Pan-African Uhuru Movement, include Miradi Bubu ya Wazalendo (Invisible Enterprises of the Patriots, 1991) and Janga Sugu la Wazawa (Everlasting Doom for the Children of the Land, 2002). ",Ruhumbika,decided,,,,,,
enrico,Q5515838,8.0,"Although Village in Uhuru was written and first published in English, Ruhumbika decided to write all of his subsequent novels in Swahili, a decision similar to that of Kenyan writer Ngũgĩ wa Thiong'o. His Swahili-language novels, which mainly cover the Pan-African Uhuru Movement, include Miradi Bubu ya Wazalendo (Invisible Enterprises of the Patriots, 1991) and Janga Sugu la Wazawa (Everlasting Doom for the Children of the Land, 2002). ",Ruhumbika,write,,,,,,
enrico,Q5515838,8.0,"Although Village in Uhuru was written and first published in English, Ruhumbika decided to write all of his subsequent novels in Swahili, a decision similar to that of Kenyan writer Ngũgĩ wa Thiong'o. His Swahili-language novels, which mainly cover the Pan-African Uhuru Movement, include Miradi Bubu ya Wazalendo (Invisible Enterprises of the Patriots, 1991) and Janga Sugu la Wazawa (Everlasting Doom for the Children of the Land, 2002). ",,written,,,,Village in Uhuru,,
enrico,Q5515838,8.0,"Although Village in Uhuru was written and first published in English, Ruhumbika decided to write all of his subsequent novels in Swahili, a decision similar to that of Kenyan writer Ngũgĩ wa Thiong'o. His Swahili-language novels, which mainly cover the Pan-African Uhuru Movement, include Miradi Bubu ya Wazalendo (Invisible Enterprises of the Patriots, 1991) and Janga Sugu la Wazawa (Everlasting Doom for the Children of the Land, 2002). ",,published,,,,Village in Uhuru,,
enrico,Q2748105,3.0,"He was awarded the Spanish National Cross of Merit in 2003, and the Pablo Neruda prize for literature in 2004. ",,awarded,,in 2003,,He,Spanish National Cross of Merit,
enrico,Q2748105,3.0,"He was awarded the Spanish National Cross of Merit in 2003, and the Pablo Neruda prize for literature in 2004. ",,awarded,,in 2004,,He,,
enrico,Q16751568,17.0,Singh debuted with a crime thriller Flirting With Fate released by Mahaveer Publishers in 2012.  ,Singh,debuted,,in 2012,,,Mahaveer Publishers,
enrico,Q7490629,19.0,"His 100th and 200th astavadhanas were also performed at Kolar, his native place. ",,,,,,,,
enrico,Q6577509,11.0,He won the writing competition organized by Elmar Huseynov Foundation. ,He,won,,,,,Elmar Huseynov Foundation,
enrico,Q5015394,26.0,"The BBC described Mooji’s satsang as a “five hour spiritual question and answer session,” where devotees can ask how to find spiritual contentment. ",,,,,,,,
enrico,Q16315077,8.0,Maharadhi also served as Andhra Pradesh Congress State Secretary when Y. S. Rajasekhara Reddy was Andhra Pradesh Congress president. ,Maharadhi,,served,,,,Andhra Pradesh Congress State,
enrico,Q57464,219.0,"Jordan's foreign debt-to-GDP ratio fell from more than 210 percent in 1990 to 83 percent by the end of 2005, a decrease called an ""extraordinary achievement"" by the International Monetary Fund. ",,,,,,,,
enrico,Q3331964,3.0,"In 2008, he received a scholarship-prize from the Brazilian National Library Foundation and, in 2009, was poet-in-residence in Monsanto, Portugal. ",,received,,In 2008,,he,Brazilian National Library Foundation,
enrico,Q3331964,3.0,"In 2008, he received a scholarship-prize from the Brazilian National Library Foundation and, in 2009, was poet-in-residence in Monsanto, Portugal. ",he,,poet,in 2009,"in Monsanto, Portugal",,,
enrico,Q19668724,14.0,"Olisakwe was selected as one of the 39 most promising writers under the age of 40 from Sub-Saharan Africa and the diaspora, in the Africa39 project – a Hay Festival and Rainbow Book Club initiative in celebration of the UNESCO World Book Capital 2014 – and is included in the anthology Africa39: New Writing from Africa South of the Sahara (edited by Ellah Allfrey). ",,selected,,,Sub-Saharan Africa,Olisakwe,UNESCO World Book Capital 2014,
enrico,Q3611679,86.0,She was made an honorary member of Delta Sigma Theta sorority. ,,made,,,,She,Delta Sigma Theta,
enrico,Q233383,10.0,"The New York Times editors were at first hesitant to consider the photo for publication because of the nudity, but eventually approved it. ",,,,,,,,
enrico,Q3812755,0.0,"Ram Sarup Ankhi (28 August 1932 - 14 February 2010) was an Indian writer, poet, and novelist who wrote in Punjabi. ",Ram Sarup Ankhi,,writer,28 August 1932 - 14 February 2010,in Punjabi,,,
enrico,Q3812755,0.0,"Ram Sarup Ankhi (28 August 1932 - 14 February 2010) was an Indian writer, poet, and novelist who wrote in Punjabi. ",Ram Sarup Ankhi,,poet,,,,,
enrico,Q3812755,0.0,"Ram Sarup Ankhi (28 August 1932 - 14 February 2010) was an Indian writer, poet, and novelist who wrote in Punjabi. ",Ram Sarup Ankhi,,novelist,,,,,
enrico,Q2627089,8.0,"In the same year, she went to the United States to attend Wright State University, where she received a master's degree. ",she,attend,,,United States,,Wright State University,
enrico,Q2627089,8.0,"In the same year, she went to the United States to attend Wright State University, where she received a master's degree. ",,received,,,,she,,
enrico,Q13847975,42.0,"During that same event, he was also given the Osagyefo Lifetime Achievement Award by the Ghana Academy of Film and Television Arts (GAFTA). ",,given,,,,he,Ghana Academy of Film and Television Arts (GAFTA),
enrico,Q45747,228.0,"Viswanathan Anand participated in several high-level tournaments in 2017 including the World Rapid and Blitz Championship, the Isle of Man Championship, the Norway chess tournament, the Zurich Chess Challenge, the Leon Chess Masters Rapid Tournament and the FIDE World Cup, to which he returned after fifteen years. ",Viswanathan Anand,participated,,in 2017,,,FIDE World Cup,
enrico,Q14811672,36.0,"In a March 2019 article on ThriveNYC, The New York Times reported: ""Public health officials credit the plan for drawing attention to mental health… At the same time, some initiatives failed to get started, while others placed unrealistic demands on already strained mental health services"". ",,,,,,,,
enrico,Q356026,13.0,"Africans feared that this would lead to their coming under the control of Kenya's white settler community, as had happened in the Federation of Rhodesia and Nyasaland. ",,,,,,,,
enrico,Q2723263,4.0,Bhagat joined L. D. Arts College as a lecturer. ,Bhagat,joined,,,,,L. D. Arts College,
enrico,Q57421,315.0,""" President Elbegdorj took part in the United Nations Climate Change Conference (COP21), in Paris, France. ",Elbegdorj,took part,,,"in Paris, France",,the United Nations Climate Change Conference,
enrico,Q3701303,10.0,In the second half of the 1990s he taught Ethics and the Deontology of the Media at the Università Cattolica del Sacro Cuore in Milan. ,he,,taught,In the second half of the 1990s,in Milan,,the Università Cattolica del Sacro Cuore,
enrico,Q21064584,32.0,In 2019 she published its sequel Уулсын Домог Хотулун (Khutulun; The Legend of the Hills).  ,she,published,,In 2019,,,,
enrico,Q43293,37.0,"When awarding the prize, the Swedish Academy stated that Coetzee ""in innumerable guises portrays the surprising involvement of the outsider"". ",Coetzee,,,,,,the Swedish Academy,portrays
enrico,Q23893096,4.0,"Some sources give her birthplace as Miracema, while other sources say that she was born in Rio de Janeiro and moved to Miracema when she was very young. ",,,,,in Rio de Janeiro,she,,born
enrico,Q23893096,4.0,"Some sources give her birthplace as Miracema, while other sources say that she was born in Rio de Janeiro and moved to Miracema when she was very young. ",she,,,,to Miracema,,,moved
enrico,Q3595359,19.0,"His most celebrated work, Khwab Ke dar band hain, arrived in 1987, which also won him the Sahitya Akademi Award in Urdu for that year. ",Khwab Ke dar band hain,arrived,,in 1987,,,,
enrico,Q1988375,12.0,"Before 2014, he regularly visited Moscow. ",he,visited,,Before 2014,Moscow,,,
enrico,Q28535116,1.0,He lives in Barcelona. ,He,,lives,,in Barcelona,,,
enrico,Q5487783,2.0,"Her short story  ""El Cristo de la mirada baja"" won first prize in 1986 in the International Literary Contest of the Liberator General San Martín held in Buenos Aires. ",El Cristo de la mirada baja,won,,in 1986,in Buenos Aires,,the International Literary Contest of the Liberator General San Martín,
enrico,Q102870,101.0,The Preston area near Poplar Neck contained a substantial Quaker community and was probably an important first stop during Tubman's escape. ,,,,,,,,
enrico,Q7636984,9.0,"He also received a PhD in Kannada from Bangalore University and an honorary doctorate, ""Shabda Marthand"", from Gurukul Kangri University, Hardwar. ",,received,,,in Kannada,He,Bangalore University,
enrico,Q7636984,9.0,"He also received a PhD in Kannada from Bangalore University and an honorary doctorate, ""Shabda Marthand"", from Gurukul Kangri University, Hardwar. ",,received,,,Hardwar,He,Gurukul Kangri University,
enrico,Q5232833,3.0,"He is the co-founder of Aleph Book Company, a literary publishing firm based in New Delhi. ",He,,co-founder,,in New Delhi,,Aleph Book Company,
enrico,Q4412673,65.0,"While drawing from various religious and historical themes, Malachi York continued to focus on Nubia. ",Malachi York,,focus,,Nubia,,,
enrico,Q19526,226.0,"In 2021, the United States Mint announced that Angelou would be among the first women depicted on the reverse of the quarter as a part of the American Women quarters series. ",,depicted,,In 2021,,Angelou,the United States Mint,
enrico,Q7822307,7.0,"Recorded in a tiny studio on the seminary campus, Tony spent the next few years faithfully preaching into a microphone for a crowd unseen in Houston. ",Tony,,spent,,,,,
enrico,Q54117373,2.0,Khalaf studied media and graduated from the University of Damascus in 1993. ,Khalaf,,studied,,,,,
enrico,Q54117373,2.0,Khalaf studied media and graduated from the University of Damascus in 1993. ,Khalaf,graduated,,,,,the University of Damascus,
enrico,Q3347977,43.0,"The day is also commemorated by JANAM, which organises street plays at Jhandapur village, in Sahibabad, where he was killed. ",,killed,,,in Sahibabad,he,,
enrico,Q1236772,17.0,"Her For My People was considered the ""most important collection of poetry written by a participant in the Chicago Black Renaissance before Gwendolyn Brooks's A Street in Bronzeville."" ",,,,,,Her For My People,,considered
enrico,Q452642,5.0,"She continued writing her poems in Germany, translated German ones into Arabic language and brought out a periodical Diwan. ",She,writing,,,in Germany,,,
enrico,Q452642,5.0,"She continued writing her poems in Germany, translated German ones into Arabic language and brought out a periodical Diwan. ",She,translated,,,,,,
enrico,Q432362,16.0,"He has also played Johnnie in Athol Fugard's Hello and Goodbye, Iago in Othello, Malvolio in Twelfth Night and Shylock in The Merchant of Venice. ",He,played,,,,,,
enrico,Q5534661,8.0,"Too young to work, he was assessed as educationally subnormal at his first school, and he was sent to Shelborne Road Secondary Modern. ",,assessed,,,,he,Shelborne Road Secondary Modern,
enrico,Q704746,91.0,"For instance, Forman recruited the young folk star Bob Dylan  to play benefits and rallies for SNCC ( One of these rallies in Mississippi makes an appearance in the classic documentary Don't Look Back). ",Forman,recruited,,,,,SNCC,
enrico,Q15511967,31.0,"After leaving Gentilly, Sister Morgan roomed in various houses, mostly in the Lower Ninth Ward, an historically African American neighborhood in Orleans Parish. ",Sister Morgan,roomed,,After,the Lower Ninth Ward,,,
enrico,Q2763668,9.0,"She completed Master of Science in Library Science from Drexel University, Philadelphia, in 1962 and M.S. in South Asian Studies from University of Pennsylvania, Philadelphia, in 1973. ",She,completed,,in 1962,Philadelphia,,from Drexel University,
enrico,Q2763668,9.0,"She completed Master of Science in Library Science from Drexel University, Philadelphia, in 1962 and M.S. in South Asian Studies from University of Pennsylvania, Philadelphia, in 1973. ",She,completed,,in 1973,Philadelphia,,University of Pennsylvania,
enrico,Q5085940,1.0,She grew up in a prominent abolitionist family in Philadelphia. ,She,,grew up,,in Philadelphia,,,
enrico,Q55759,10.0,"They include Fakira (1959), which is in its 19th edition and received a state government award in 1961. ",,received,,,,Fakira,,
enrico,Q1712707,5.0,"In 1957 he emigrated to the United Kingdom, where he settled in London and worked as an enforcer and frontman for the notorious slum landlord Peter Rachman, a role he professed to dislike, but which paid for his lifestyle. ",he,emigrated,,In 1957,the United Kingdom,,,
enrico,Q1712707,5.0,"In 1957 he emigrated to the United Kingdom, where he settled in London and worked as an enforcer and frontman for the notorious slum landlord Peter Rachman, a role he professed to dislike, but which paid for his lifestyle. ",he,settled,,,London,,,
enrico,Q1712707,5.0,"In 1957 he emigrated to the United Kingdom, where he settled in London and worked as an enforcer and frontman for the notorious slum landlord Peter Rachman, a role he professed to dislike, but which paid for his lifestyle. ",he,,worked,,,,,
enrico,Q3635724,4.0,"In 1971, his research in the archives of London and Edinburgh brought to light some of the little-known facts of India's freedom struggle in the first decade of the twentieth century led by Sri Aurobindo for which he received the first Sri Aurobindo Puraskar (Kolkata). ",,received,,In 1971,Kolkata,he,,
enrico,Q6507753,27.0,"In the same year, she published a prose piece entitled ""The Gangster We Are All Looking For"" in the Massachusetts Review. ",she,published,,In the same year,,,in the Massachusetts Review,
enrico,Q456281,28.0,"Lestrade left Paris in 2002 to live in rural French Normandy, near Alençon. ",Lestrade,left,,in 2002,Paris,,,
enrico,Q456281,28.0,"Lestrade left Paris in 2002 to live in rural French Normandy, near Alençon. ",Lestrade,,to live,,"in rural French Normandy, near Alençon",,,
enrico,Q1050946,6.0,"In the book Words in Your Face: A Guided Tour Through Twenty Years of the New York City Poetry Slam, author Cristin O'Keefe Aptowicz wrote of muMs's time in slam poetry, noting his writing ""was street poetry at its purest. ",Cristin O'Keefe Aptowicz,wrote,,,,,,
enrico,Q15430533,1.0,The McKissacks jointly received the biennial American Library Association Coretta Scott King – Virginia Hamilton Award for Lifetime Achievement in 2014 (after Fredrick's death). ,,received,,,,The McKissacks,the biennial American Library Association Coretta Scott King – Virginia Hamilton Award,
enrico,Q5552634,29.0,"Alanguilan then got his first opportunity to work for Marvel Comics in 1997, inking Leinil Francis Yu's pencils on Wolverine Volume 2 No. 121, written by Warren Ellis. ",Alanguilan,work,,in 1997,,,for Marvel Comics,
enrico,Q5552634,29.0,"Alanguilan then got his first opportunity to work for Marvel Comics in 1997, inking Leinil Francis Yu's pencils on Wolverine Volume 2 No. 121, written by Warren Ellis. ",Alanguilan,inking,,,,,,
enrico,Q2734197,2.0,Before the Six-Day War in 1967 he was mainly influenced by Arab nationalism; after the war he joined the Israeli Communist Party. ,,,influenced,in 1967,,he,,
enrico,Q2734197,2.0,Before the Six-Day War in 1967 he was mainly influenced by Arab nationalism; after the war he joined the Israeli Communist Party. ,he,joined,,,,,the Israeli Communist Party,
enrico,Q2978433,2.0,"Her book of poetry, Citizen: An American Lyric, won the 2014 Los Angeles Times Book Award, the 2015 National Book Critics Circle Award in Poetry (the first book in the award's history to be nominated in both poetry and criticism), the 2015 Forward Prize for Best Collection, the 2015 Hurston/Wright Legacy Award in Poetry, the 2015 NAACP Image Award in poetry, the 2015 PEN Open Book Award, the 2015 PEN American Center USA Literary Award, the 2015 PEN Oakland-Josephine Miles Literary Award, and the 2015 VIDA Literary Award. ","Her book of poetry, Citizen: An American Lyric",won,,,,,the 2014 Los Angeles Times Book Award,
enrico,Q4827381,17.0,"In 1990, DuVernay graduated from Saint Joseph High School in Lakewood. ",DuVernay,graduated,,In 1990,in Lakewood,,from Saint Joseph High School,
enrico,Q21070357,26.0,Abram Hill died in Harlem at the age of 76 in 1986. ,Abram Hill,died,,in 1986,in Harlem,,,
enrico,Q7595813,10.0,"The second of six siblings, Abrams was born to Robert and Carolyn Abrams in Madison, Wisconsin, and raised in Gulfport, Mississippi. ",,born,,,"in Madison, Wisconsin",Abrams,,
enrico,Q7595813,10.0,"The second of six siblings, Abrams was born to Robert and Carolyn Abrams in Madison, Wisconsin, and raised in Gulfport, Mississippi. ",,,raised,,"in Gulfport, Mississippi",Abrams,,
enrico,Q7296721,6.0,"This novel was reviewed by N R Narayana Murthy, Chairman Emeritus of Infosys Technologies, who called it ""Simple, honest and touching"".  ",,reviewed,,,,This novel,,
enrico,Q7296721,6.0,"This novel was reviewed by N R Narayana Murthy, Chairman Emeritus of Infosys Technologies, who called it ""Simple, honest and touching"".  ",,,,,,This novel,,called
enrico,Q155845,118.0,"In Northern Rhodesia (now called Zambia), Achebe found himself sitting in a whites-only section of a bus to Victoria Falls. ",Achebe,sitting,,,In Northern Rhodesia,,,
