annotator,author,sent_id,text,WRITER-AG,WRITER-PA,EVENT,ASP-EVENT,REP-EVENT,STATE,ORG,LOC,TIME
marco,Q312570,68.0,"Burton has appeared as a fictionalized, humorous version of himself on The Big Bang Theory, first appearing in the episode ""The Toast Derivation"", in which he almost attends a party thrown by Sheldon (before swearing off Twitter), in November 2012 in the episode ""The Habitation Configuration"", in which he appears on ""Fun With Flags"" in exchange for lunch and gas money, and again in the November 2014 episode ""The Champagne Reflection"", in which he returns for the 232nd episode of ""Fun With Flags"" in exchange for Sheldon deleting his contact details.  (LeVar Burton)",Burton,,appeared,,,,,,
marco,Q312570,68.0,"Burton has appeared as a fictionalized, humorous version of himself on The Big Bang Theory, first appearing in the episode ""The Toast Derivation"", in which he almost attends a party thrown by Sheldon (before swearing off Twitter), in November 2012 in the episode ""The Habitation Configuration"", in which he appears on ""Fun With Flags"" in exchange for lunch and gas money, and again in the November 2014 episode ""The Champagne Reflection"", in which he returns for the 232nd episode of ""Fun With Flags"" in exchange for Sheldon deleting his contact details.  (LeVar Burton)",Burton,,appearing,,,,,,
marco,Q312570,68.0,"Burton has appeared as a fictionalized, humorous version of himself on The Big Bang Theory, first appearing in the episode ""The Toast Derivation"", in which he almost attends a party thrown by Sheldon (before swearing off Twitter), in November 2012 in the episode ""The Habitation Configuration"", in which he appears on ""Fun With Flags"" in exchange for lunch and gas money, and again in the November 2014 episode ""The Champagne Reflection"", in which he returns for the 232nd episode of ""Fun With Flags"" in exchange for Sheldon deleting his contact details.  (LeVar Burton)",he,,appears,,,,,,in November 2012
marco,Q4121378,42.0,"Anne Spencer's literary life began while she was a student at the Virginia Seminary where she wrote her first poem, ""the Skeptic,"" now lost.  (Anne Spencer)",she,,,,,student,at the Virginia Seminary,,
marco,Q4121378,42.0,"Anne Spencer's literary life began while she was a student at the Virginia Seminary where she wrote her first poem, ""the Skeptic,"" now lost.  (Anne Spencer)",she,,wrote,,,,at the Virginia Seminary,,
marco,Q6236380,22.0,"Bowen continued writing and producing for many long-running drama strands on both the BBC and ITV throughout the 1970s, including ITV Play of the Week, Armchair Thriller, the same network's Playhouse and Weekend Playhouse.  (John Griffith Bowen)",Bowen,,,continued,,writing,on both the BBC and ITV,,
marco,Q6236380,22.0,"Bowen continued writing and producing for many long-running drama strands on both the BBC and ITV throughout the 1970s, including ITV Play of the Week, Armchair Thriller, the same network's Playhouse and Weekend Playhouse.  (John Griffith Bowen)",Bowen,,,continued,,producing,on both the BBC and ITV,,throughout the 1970s
marco,Q6099288,6.0,"She later moved to the island of São Vicente and lived in her uncle's house, the writer António Aurélio Gonçalves, where she started to write stories and folklore books from Cape Verde, because she knew and liked to tell him.   (Ivone Ramos)",She,,moved,,,,,to the island of São Vicente,
marco,Q6099288,6.0,"She later moved to the island of São Vicente and lived in her uncle's house, the writer António Aurélio Gonçalves, where she started to write stories and folklore books from Cape Verde, because she knew and liked to tell him.   (Ivone Ramos)",She,,,,,lived,,the island of São Vicente,
marco,Q6099288,6.0,"She later moved to the island of São Vicente and lived in her uncle's house, the writer António Aurélio Gonçalves, where she started to write stories and folklore books from Cape Verde, because she knew and liked to tell him.   (Ivone Ramos)",she,,,started,,write,,the island of São Vicente,
marco,Q42336680,9.0,Pillai is known for his debut non-fiction The Ivory Throne: Chronicles of the House of Travancore for which he won the Sahitya Akademi Yuva Puraskar in 2017.   (Manu S. Pillai),he,,won,,,,the Sahitya Akademi Yuva Puraskar,,in 2017
marco,Q42336680,9.0,Pillai is known for his debut non-fiction The Ivory Throne: Chronicles of the House of Travancore for which he won the Sahitya Akademi Yuva Puraskar in 2017.   (Manu S. Pillai),,Pillai,,,,known,,,
marco,Q25539791,7.0,"He was inclined towards studying Islamic sciences, and completed the traditional dars-e-nizami at the Madrasa Bait-ul-Uloom in Sarai Mir in four years.  (Hakim Muhammad Akhtar)",He,,completed,,,,at the Madrasa Bait-ul-Uloom,in Sarai Mir,in four years
marco,Q25539791,7.0,"He was inclined towards studying Islamic sciences, and completed the traditional dars-e-nizami at the Madrasa Bait-ul-Uloom in Sarai Mir in four years.  (Hakim Muhammad Akhtar)",He,,,,,inclined,,,
marco,Q970649,82.0,"In Italy, it won the Premio Gregor von Rezzori-Città di Firenze; with the English translation, Vásquez became the first Latin American and the second Spanish-language author to win the International IMPAC Dublin Literary Award, previously awarded to authors such as Orhan Pamuk, Herta Müller and Javier Marías; the French translation was instrumental to Vásquez being awarded the Prix Roger Caillois; in the United States, the novel appeared on the cover of The New York Times Book Review, where Edmund White called it “A brilliant new novel...gripping...absorbing right to the end”.  (Juan Gabriel Vásquez)",the first Latin American,,win,,,,,the International IMPAC Dublin Literary Award,
marco,Q970649,82.0,"In Italy, it won the Premio Gregor von Rezzori-Città di Firenze; with the English translation, Vásquez became the first Latin American and the second Spanish-language author to win the International IMPAC Dublin Literary Award, previously awarded to authors such as Orhan Pamuk, Herta Müller and Javier Marías; the French translation was instrumental to Vásquez being awarded the Prix Roger Caillois; in the United States, the novel appeared on the cover of The New York Times Book Review, where Edmund White called it “A brilliant new novel...gripping...absorbing right to the end”.  (Juan Gabriel Vásquez)",,Vásquez,awarded,,,,,in the United States,
marco,Q970649,82.0,"In Italy, it won the Premio Gregor von Rezzori-Città di Firenze; with the English translation, Vásquez became the first Latin American and the second Spanish-language author to win the International IMPAC Dublin Literary Award, previously awarded to authors such as Orhan Pamuk, Herta Müller and Javier Marías; the French translation was instrumental to Vásquez being awarded the Prix Roger Caillois; in the United States, the novel appeared on the cover of The New York Times Book Review, where Edmund White called it “A brilliant new novel...gripping...absorbing right to the end”.  (Juan Gabriel Vásquez)",the novel,,appeared,,,,of The New York Times Book Review,,
marco,Q970649,82.0,"In Italy, it won the Premio Gregor von Rezzori-Città di Firenze; with the English translation, Vásquez became the first Latin American and the second Spanish-language author to win the International IMPAC Dublin Literary Award, previously awarded to authors such as Orhan Pamuk, Herta Müller and Javier Marías; the French translation was instrumental to Vásquez being awarded the Prix Roger Caillois; in the United States, the novel appeared on the cover of The New York Times Book Review, where Edmund White called it “A brilliant new novel...gripping...absorbing right to the end”.  (Juan Gabriel Vásquez)",Vásquez,,,became,,,,,
marco,Q970649,82.0,"In Italy, it won the Premio Gregor von Rezzori-Città di Firenze; with the English translation, Vásquez became the first Latin American and the second Spanish-language author to win the International IMPAC Dublin Literary Award, previously awarded to authors such as Orhan Pamuk, Herta Müller and Javier Marías; the French translation was instrumental to Vásquez being awarded the Prix Roger Caillois; in the United States, the novel appeared on the cover of The New York Times Book Review, where Edmund White called it “A brilliant new novel...gripping...absorbing right to the end”.  (Juan Gabriel Vásquez)",,the novel,,,called,,The New York Times Book Review,,
marco,Q5878,47.0,"Though García Márquez never finished his higher studies, some universities, including Columbia University, New York, have given him an honorary doctorate in writing.  (Gabriel García Márquez)",García Márquez,,finished,,,,,,
marco,Q5878,47.0,"Though García Márquez never finished his higher studies, some universities, including Columbia University, New York, have given him an honorary doctorate in writing.  (Gabriel García Márquez)",,him,given,,,,Columbia University,New York,
marco,Q3531436,1.0,"He is best known for his plays The Rez Sisters and Dry Lips Oughta Move to Kapuskasing, both of which won the Dora Mavor Moore Award and the Floyd S. Chalmers Award.  (Tomson Highway)",,He,,,,known,,,
marco,Q3531436,1.0,"He is best known for his plays The Rez Sisters and Dry Lips Oughta Move to Kapuskasing, both of which won the Dora Mavor Moore Award and the Floyd S. Chalmers Award.  (Tomson Highway)",his plays The Rez Sisters and Dry Lips Oughta Move to Kapuskasing,,won,,,,,,
marco,Q1377706,77.0,"In 1928, the National Park Service made a film featuring Grey Owl and Anahareo, which showed them with two beavers which they had taken in as kits and raised after their mother was killed.  (Grey Owl)",Grey Owl,,featuring,,,,,,
marco,Q152208,67.0,"Her July Vogue Brasil 2011 cover that was shot in the Amazon sold 70,743 copies, making it the magazine's highest-selling issue.  (Gisele Bündchen)",,Her July Vogue Brasil 2011 cover,shot,,,,,in the Amazon,
marco,Q152208,67.0,"Her July Vogue Brasil 2011 cover that was shot in the Amazon sold 70,743 copies, making it the magazine's highest-selling issue.  (Gisele Bündchen)",,Her July Vogue Brasil 2011 cover,sold,,,,,,
marco,Q235451,82.0,"He wrote: ""Shiva's absolutism about G.M.O.s can lead her in strange directions.  (Vandana Shiva)",He,,,,wrote,,,,
marco,Q6766303,19.0,"She published poetry, short stories, and non-fiction pieces, then submitted her first novel, a paranormal romantic adventure set in China and the United States entitled Tiger Eye.  (Marjorie Liu)",She,,,,,published,,,
marco,Q6766303,19.0,"She published poetry, short stories, and non-fiction pieces, then submitted her first novel, a paranormal romantic adventure set in China and the United States entitled Tiger Eye.  (Marjorie Liu)",She,,submitted,,,,,,
marco,Q7154030,15.0,"In January 1990, Zeleza left Kenyatta University to work on his research of African economic history, which took him to the United Nations Economic Commission for Africa in Addis Ababa, Ethiopia, and his alma mater, Dalhousie University in Canada, where he spent the next six months conducting research.  (Paul Tiyambe Zeleza)",Zeleza,,left,,,,Kenyatta University,,In January 1990
marco,Q7154030,15.0,"In January 1990, Zeleza left Kenyatta University to work on his research of African economic history, which took him to the United Nations Economic Commission for Africa in Addis Ababa, Ethiopia, and his alma mater, Dalhousie University in Canada, where he spent the next six months conducting research.  (Paul Tiyambe Zeleza)",Zeleza,,,,,work,,,
marco,Q7154030,15.0,"In January 1990, Zeleza left Kenyatta University to work on his research of African economic history, which took him to the United Nations Economic Commission for Africa in Addis Ababa, Ethiopia, and his alma mater, Dalhousie University in Canada, where he spent the next six months conducting research.  (Paul Tiyambe Zeleza)",,him,took,,,,to the United Nations Economic Commission for Africa,"in Addis Ababa, Ethiopia",
marco,Q7154030,15.0,"In January 1990, Zeleza left Kenyatta University to work on his research of African economic history, which took him to the United Nations Economic Commission for Africa in Addis Ababa, Ethiopia, and his alma mater, Dalhousie University in Canada, where he spent the next six months conducting research.  (Paul Tiyambe Zeleza)",he,,,,,spent,Dalhousie University,in Canada,
marco,Q7154030,15.0,"In January 1990, Zeleza left Kenyatta University to work on his research of African economic history, which took him to the United Nations Economic Commission for Africa in Addis Ababa, Ethiopia, and his alma mater, Dalhousie University in Canada, where he spent the next six months conducting research.  (Paul Tiyambe Zeleza)",he,,,,,conducting,Dalhousie University,in Canada,
marco,Q1064577,13.0,"Together they had a son David Brent Gordone, yet Charles Gordone remained with Jeanne Warner raising their daughter Leah-Carla in New York City over the years while Nancy Meadows left her position with the Washington Post and traveled around with her son David as a member of Wavy Gravy's Hog Farm (a 1960s hippie communal/caravan group that coordinated light shows for major concerts around the U.S., including the first Woodstock Concert).  (Charles Gordone)",they,,had,,,,,,
marco,Q1064577,13.0,"Together they had a son David Brent Gordone, yet Charles Gordone remained with Jeanne Warner raising their daughter Leah-Carla in New York City over the years while Nancy Meadows left her position with the Washington Post and traveled around with her son David as a member of Wavy Gravy's Hog Farm (a 1960s hippie communal/caravan group that coordinated light shows for major concerts around the U.S., including the first Woodstock Concert).  (Charles Gordone)",Charles Gordone,,,,,remained,,in New York City,
marco,Q1064577,13.0,"Together they had a son David Brent Gordone, yet Charles Gordone remained with Jeanne Warner raising their daughter Leah-Carla in New York City over the years while Nancy Meadows left her position with the Washington Post and traveled around with her son David as a member of Wavy Gravy's Hog Farm (a 1960s hippie communal/caravan group that coordinated light shows for major concerts around the U.S., including the first Woodstock Concert).  (Charles Gordone)",Charles Gordone,,,,,raising,,in New York City,
marco,Q5299406,10.0,"She has performed at venues including the Museum of London, Edinburgh Fringe Festival, Cambridge Water Stone, Liberty Radio, Battersea Arts Centre, Lauderdale House, the Commonwealth Institute, British Library, British Council of Bangladesh, Takshila in Pakistan and New York.  (Shamim Azad)",She,,,,,performed,,"the Museum of London, Edinburgh Fringe Festival, Cambridge Water Stone",
marco,Q85011161,31.0,"Mayson's tenure at Historic Germantown provided background for some of her poetry honoring African-American slaves, such as her poem ""Happy birthday Dinah"" about a slave named Dinah who resided at the Stenton Mansion in the Logan section of Philadelphia, and was enslaved by family members of statesman and former mayor James Logan.  (Trapeta Mayson)",Mayson's,,,,,tenure,at Historic Germantown,,
marco,Q85011161,31.0,"Mayson's tenure at Historic Germantown provided background for some of her poetry honoring African-American slaves, such as her poem ""Happy birthday Dinah"" about a slave named Dinah who resided at the Stenton Mansion in the Logan section of Philadelphia, and was enslaved by family members of statesman and former mayor James Logan.  (Trapeta Mayson)",Mayson's tenure,,,,,provided,,,
marco,Q85011161,31.0,"Mayson's tenure at Historic Germantown provided background for some of her poetry honoring African-American slaves, such as her poem ""Happy birthday Dinah"" about a slave named Dinah who resided at the Stenton Mansion in the Logan section of Philadelphia, and was enslaved by family members of statesman and former mayor James Logan.  (Trapeta Mayson)",some of her poetry,,,,,honoring,,,
marco,Q21406073,76.0,"Despite being an Arab author whose entire published fiction is written in Arabic, Habayeb has managed to develop an international reputation through participating in multiple cultural events that took place outside the Arab World, and having some of her pieces translated into English.  (Huzama Habayeb)",,entire published fiction,,,,written,,,
marco,Q21406073,76.0,"Despite being an Arab author whose entire published fiction is written in Arabic, Habayeb has managed to develop an international reputation through participating in multiple cultural events that took place outside the Arab World, and having some of her pieces translated into English.  (Huzama Habayeb)",Habayeb,,,,,author,,,
marco,Q21406073,76.0,"Despite being an Arab author whose entire published fiction is written in Arabic, Habayeb has managed to develop an international reputation through participating in multiple cultural events that took place outside the Arab World, and having some of her pieces translated into English.  (Huzama Habayeb)",Habayeb,,,,,managed,,,
marco,Q21406073,76.0,"Despite being an Arab author whose entire published fiction is written in Arabic, Habayeb has managed to develop an international reputation through participating in multiple cultural events that took place outside the Arab World, and having some of her pieces translated into English.  (Huzama Habayeb)",Habayeb,,,,,develop,,,
marco,Q21406073,76.0,"Despite being an Arab author whose entire published fiction is written in Arabic, Habayeb has managed to develop an international reputation through participating in multiple cultural events that took place outside the Arab World, and having some of her pieces translated into English.  (Huzama Habayeb)",Habayeb,,,,,participating,,outside the Arab World,
marco,Q21406073,76.0,"Despite being an Arab author whose entire published fiction is written in Arabic, Habayeb has managed to develop an international reputation through participating in multiple cultural events that took place outside the Arab World, and having some of her pieces translated into English.  (Huzama Habayeb)",,some of her pieces,translated,,,,,,
marco,Q6797935,1.0,She currently plays the role of May Valentine on NWA Powerrr Mayra Dias Gomes is a Brazilian writer.  (Mayra Dias Gomes),She,,,,,plays,,,currently
marco,Q6797935,1.0,She currently plays the role of May Valentine on NWA Powerrr Mayra Dias Gomes is a Brazilian writer.  (Mayra Dias Gomes),Mayra Dias Gomes,,,,,writer,,,
marco,Q6935927,12.0,"He completed his Master studies from Punjab University, Lahore, in Philosophy .  (Muneer Ahmed Badini)",He,,completed,,,,from Punjab University,Lahore,
marco,Q6122156,6.0,"Sarkar went on to study economics at Patna University, where he associated with the Freedom Movement and the nascent Communist Party in Bihar, and he became an activist among students and educated people.  (Jagannath Sarkar)",Sarkar,,,went,,study,at Patna University,,
marco,Q6122156,6.0,"Sarkar went on to study economics at Patna University, where he associated with the Freedom Movement and the nascent Communist Party in Bihar, and he became an activist among students and educated people.  (Jagannath Sarkar)",he,,associated,,,,with the Freedom Movement and the nascent Communist Party,in Bihar,
marco,Q6122156,6.0,"Sarkar went on to study economics at Patna University, where he associated with the Freedom Movement and the nascent Communist Party in Bihar, and he became an activist among students and educated people.  (Jagannath Sarkar)",he,,,became,,activist,,,
marco,Q236503,58.0,"On 11 August 1992, thousands of students organized by the National Student Union (União Nacional dos Estudantes – UNE), protested on the street against Collor.  (Fernando Collor de Mello)",,against Collor,protested,,,,by the National Student Union (União Nacional dos Estudantes – UNE),,On 11 August 1992
marco,Q7145842,2.0,She is on the faculties of the Stonecoast MFA Program in Creative Writing and the Low-Residency MFA Program in Creative Writing at Sierra Nevada College.  (Patricia Smith),She,,,,,is,of the Stonecoast MFA Program,,
marco,Q7145842,2.0,She is on the faculties of the Stonecoast MFA Program in Creative Writing and the Low-Residency MFA Program in Creative Writing at Sierra Nevada College.  (Patricia Smith),She,,,,,is,,at Sierra Nevada College,
marco,Q6324136,25.0,"He founded the Centre for Wildlife Studies, published more than 135 international peer-reviewed scientific papers and popular articles, and authored seven books in English and Kannada.  (K. Ullas Karanth)",He,,founded,,,,the Centre for Wildlife Studies,,
marco,Q6324136,25.0,"He founded the Centre for Wildlife Studies, published more than 135 international peer-reviewed scientific papers and popular articles, and authored seven books in English and Kannada.  (K. Ullas Karanth)",He,,,,,published,,,
marco,Q6324136,25.0,"He founded the Centre for Wildlife Studies, published more than 135 international peer-reviewed scientific papers and popular articles, and authored seven books in English and Kannada.  (K. Ullas Karanth)",He,,,,,authored,,,
marco,Q61742007,58.0,"To add insult to injury, the crackdown follows the horrific death of Arman Luni, one of PTM’s activists.”  (Arman Loni)",of Arman Luni,,death,,,,,,
marco,Q3318321,2.0,"After his secondary studies, he graduated in Swahili and Arabic language and travelled to Madagascar and France where he made studies in linguistics.  (Mohamed Ahmed-Chamanga)",his,,,,,studies,,,
marco,Q3318321,2.0,"After his secondary studies, he graduated in Swahili and Arabic language and travelled to Madagascar and France where he made studies in linguistics.  (Mohamed Ahmed-Chamanga)",he,,graduated,,,,,,
marco,Q3318321,2.0,"After his secondary studies, he graduated in Swahili and Arabic language and travelled to Madagascar and France where he made studies in linguistics.  (Mohamed Ahmed-Chamanga)",he,,travelled,,,,,to Madagascar and France,
marco,Q3318321,2.0,"After his secondary studies, he graduated in Swahili and Arabic language and travelled to Madagascar and France where he made studies in linguistics.  (Mohamed Ahmed-Chamanga)",he,,made,,,,,Madagascar and France,
marco,Q12052938,0.0,"Shamsun Nahar Iffat Ara (Bengali: ইফ্‌ফাত আরা), known as Iffat Ara, is a writer, social activist and literary organizer of Bangladesh.  (Iffat Ara)",,Shamsun Nahar Iffat Ara,,,,known,,,
marco,Q12052938,0.0,"Shamsun Nahar Iffat Ara (Bengali: ইফ্‌ফাত আরা), known as Iffat Ara, is a writer, social activist and literary organizer of Bangladesh.  (Iffat Ara)",Shamsun Nahar Iffat Ara,,,,,writer,,of Bangladesh,
marco,Q16106119,3.0,He went back to Morocco after he succeeded in meeting Hassan II during his vacations in France at the Hotel Le Crillon.  (Mahjoub Tobji),He,,went,,,,,to Morocco,
marco,Q16106119,3.0,He went back to Morocco after he succeeded in meeting Hassan II during his vacations in France at the Hotel Le Crillon.  (Mahjoub Tobji),he,,succeeded,,,,,,
marco,Q16106119,3.0,He went back to Morocco after he succeeded in meeting Hassan II during his vacations in France at the Hotel Le Crillon.  (Mahjoub Tobji),he,,meeting,,,,,in France,
marco,Q5924406,15.0,The Library of Congress has a collection of thirty-seven titles by Goon.  (Nirmalendu Goon),,thirty-seven titles by Goon,,,,has,The Library of Congress,,
marco,Q623178,5.0,"He returned to Paraguay after General Alfredo Stroessner fell from power, and worked in numerous diplomatic posts, including the Paraguayan embassy in Buenos Aires.  (Elvio Romero)",He,,returned,,,,,Paraguay,
marco,Q623178,5.0,"He returned to Paraguay after General Alfredo Stroessner fell from power, and worked in numerous diplomatic posts, including the Paraguayan embassy in Buenos Aires.  (Elvio Romero)",He,,,,,worked,the Paraguayan embassy,in Buenos Aires,
marco,Q7926427,16.0,"He moved to the America in 1972 and took on his first project, a presidential mural of all the American presidents which is now in the White House Collection.  (Victor Victori)",He,,moved,,,,,to the America,in 1972
marco,Q7926427,16.0,"He moved to the America in 1972 and took on his first project, a presidential mural of all the American presidents which is now in the White House Collection.  (Victor Victori)",He,,took,,,,,,
marco,Q7926427,16.0,"He moved to the America in 1972 and took on his first project, a presidential mural of all the American presidents which is now in the White House Collection.  (Victor Victori)",,"his first project, a presidential mural of all the American presidents",,,,is,,in the White House Collection,
marco,Q18750590,26.0,He won a rank at the Class X Board examination and went on to study science at MES College.  (Vishnu Wagh),He,,won,,,,,,
marco,Q18750590,26.0,He won a rank at the Class X Board examination and went on to study science at MES College.  (Vishnu Wagh),He,,,went,,study,at MES College,,
marco,Q1421838,15.0,"By 1970, his success as a columnist and speaker had made it possible for him to move on from teaching to a life in Madrid dedicated to his columns and books.  (Carlos Alberto Montaner)",his success,,made,,,,,,By 1970
marco,Q1421838,15.0,"By 1970, his success as a columnist and speaker had made it possible for him to move on from teaching to a life in Madrid dedicated to his columns and books.  (Carlos Alberto Montaner)",him,,move,,,,,in Madrid,
marco,Q1421838,15.0,"By 1970, his success as a columnist and speaker had made it possible for him to move on from teaching to a life in Madrid dedicated to his columns and books.  (Carlos Alberto Montaner)",him,,,,,teaching,,,
marco,Q1421838,15.0,"By 1970, his success as a columnist and speaker had made it possible for him to move on from teaching to a life in Madrid dedicated to his columns and books.  (Carlos Alberto Montaner)",him,,,,,life,,in Madrid,
marco,Q1421838,15.0,"By 1970, his success as a columnist and speaker had made it possible for him to move on from teaching to a life in Madrid dedicated to his columns and books.  (Carlos Alberto Montaner)",a life,,,,,dedicated,,in Madrid,
marco,Q6500291,16.0,"The Times called it ""moving ...  excellently crafted story""  and The Financial Times hailed it as ""vivid ... evocative ... and compelling"".  (Lauren Liebenberg)",,,,,,,,,
marco,Q6416670,19.0,"Her famous poem 'We Sinful Women' (Urdu: ہم گنہگار عورتیں‎), affectionately referred to as a women's anthem among Pakistani feminists, gave its title to a groundbreaking anthology of contemporary Urdu feminist poetry, translated and edited by Rukhsana Ahmad and published in London by The Women's Press in 1991.  (Kishwar Naheed)",Her famous poem 'We Sinful Women',,,,,referred,,,
marco,Q6416670,19.0,"Her famous poem 'We Sinful Women' (Urdu: ہم گنہگار عورتیں‎), affectionately referred to as a women's anthem among Pakistani feminists, gave its title to a groundbreaking anthology of contemporary Urdu feminist poetry, translated and edited by Rukhsana Ahmad and published in London by The Women's Press in 1991.  (Kishwar Naheed)",Her famous poem 'We Sinful Women',,gave,,,,,,
marco,Q6416670,19.0,"Her famous poem 'We Sinful Women' (Urdu: ہم گنہگار عورتیں‎), affectionately referred to as a women's anthem among Pakistani feminists, gave its title to a groundbreaking anthology of contemporary Urdu feminist poetry, translated and edited by Rukhsana Ahmad and published in London by The Women's Press in 1991.  (Kishwar Naheed)",,Her famous poem 'We Sinful Women',translated,,,,,,
marco,Q6416670,19.0,"Her famous poem 'We Sinful Women' (Urdu: ہم گنہگار عورتیں‎), affectionately referred to as a women's anthem among Pakistani feminists, gave its title to a groundbreaking anthology of contemporary Urdu feminist poetry, translated and edited by Rukhsana Ahmad and published in London by The Women's Press in 1991.  (Kishwar Naheed)",,Her famous poem 'We Sinful Women',edited,,,,,,
marco,Q6416670,19.0,"Her famous poem 'We Sinful Women' (Urdu: ہم گنہگار عورتیں‎), affectionately referred to as a women's anthem among Pakistani feminists, gave its title to a groundbreaking anthology of contemporary Urdu feminist poetry, translated and edited by Rukhsana Ahmad and published in London by The Women's Press in 1991.  (Kishwar Naheed)",,Her famous poem 'We Sinful Women',published,,,,by The Women's Press,in London,in 1991
marco,Q296299,4.0,"Adiga grew up in Mangalore and studied at Canara High School and later at St. Aloysius College, Mangaluru, where he completed his SSLC in 1990.  (Aravind Adiga)",Adiga,,,,,grew,,in Mangalore,
marco,Q296299,4.0,"Adiga grew up in Mangalore and studied at Canara High School and later at St. Aloysius College, Mangaluru, where he completed his SSLC in 1990.  (Aravind Adiga)",Adiga,,,,,studied,at Canara High School,,
marco,Q296299,4.0,"Adiga grew up in Mangalore and studied at Canara High School and later at St. Aloysius College, Mangaluru, where he completed his SSLC in 1990.  (Aravind Adiga)",Adiga,,,,,studied,at St. Aloysius College,Mangaluru,
marco,Q296299,4.0,"Adiga grew up in Mangalore and studied at Canara High School and later at St. Aloysius College, Mangaluru, where he completed his SSLC in 1990.  (Aravind Adiga)",he,,completed,,,,at St. Aloysius College,,in 1990
marco,Q3426281,14.0,"In 1982, when Columbia Pictures released the feature film, Gandhi, based on his grandfather's life, Gandhi wrote an article criticizing the Indian government for subsidizing the film with $25 million, arguing that there were more important things to spend such money on.  (Arun Manilal Gandhi)",Gandhi,,criticizing,,wrote,,the Indian government,,In 1982
marco,Q3426281,14.0,"In 1982, when Columbia Pictures released the feature film, Gandhi, based on his grandfather's life, Gandhi wrote an article criticizing the Indian government for subsidizing the film with $25 million, arguing that there were more important things to spend such money on.  (Arun Manilal Gandhi)",Gandhi,,spend,,arguing,,,,In 1982
marco,Q208468,29.0,"She returned to the East and relocated to Kolkata, India, in 2004, where she lived until 2007.  (Taslima Nasrin)",She,,returned,,,,,"to Kolkata, India",in 2004
marco,Q208468,29.0,"She returned to the East and relocated to Kolkata, India, in 2004, where she lived until 2007.  (Taslima Nasrin)",She,,relocated,,,,,"to Kolkata, India",in 2004
marco,Q208468,29.0,"She returned to the East and relocated to Kolkata, India, in 2004, where she lived until 2007.  (Taslima Nasrin)",she,,,,,lived,,"Kolkata, India",until 2007
marco,Q3349739,30.0,Rumi took part in many actions against Pakistan army.  (Jahanara Imam),Rumi,,,,,part,against Pakistan army,,
marco,Q3349739,30.0,Rumi took part in many actions against Pakistan army.  (Jahanara Imam),Rumi,,actions,,,,against Pakistan army,,
