annotator,author,sent_id,text,TIME,WRITER-AG,EVENT,ORG,LOC,ASP-EVENT,STATE,WRITER-PA,REP-EVENT,EVENT-COMP
ousmane,Q6286923,7.0,"On July 22, 1891, Cotter married Maria F. Cox, a fellow teacher, with whom he had four children: Leonidas, Florence, Olivia, and Joseph Seamon Cotter Jr (a distinguished poet-playwright in his own merit).  (Joseph Seamon Cotter, Sr.)","On July 22, 1891",Cotter,married,,,,,,,
ousmane,Q6286923,7.0,"On July 22, 1891, Cotter married Maria F. Cox, a fellow teacher, with whom he had four children: Leonidas, Florence, Olivia, and Joseph Seamon Cotter Jr (a distinguished poet-playwright in his own merit).  (Joseph Seamon Cotter, Sr.)",,he,,,,,had,,,
ousmane,Q19668863,5.0,"He worked under mayor Kasim Reed starting January 2, 2008 for Atlanta Fire Department, prior to being appointed US Fire Administrator in July 2009 by President Barack Obama where he worked extensively with the Federal Emergency Management Agency and the United States Department of Homeland Security to prevent fires and improve fire response.  (Kelvin J. Cochran)","January 2, 2008",He,,for Atlanta Fire Department,,starting,worked,,,
ousmane,Q19668863,5.0,"He worked under mayor Kasim Reed starting January 2, 2008 for Atlanta Fire Department, prior to being appointed US Fire Administrator in July 2009 by President Barack Obama where he worked extensively with the Federal Emergency Management Agency and the United States Department of Homeland Security to prevent fires and improve fire response.  (Kelvin J. Cochran)",in July 2009,He,appointed,US Fire Administrator,,,,,,
ousmane,Q19668863,5.0,"He worked under mayor Kasim Reed starting January 2, 2008 for Atlanta Fire Department, prior to being appointed US Fire Administrator in July 2009 by President Barack Obama where he worked extensively with the Federal Emergency Management Agency and the United States Department of Homeland Security to prevent fires and improve fire response.  (Kelvin J. Cochran)",,he,,extensively with the Federal Emergency Management Agency and the United States Department of Homeland Security,,,worked,,,
ousmane,Q736833,110.0,"The final judgment of the European Court of Justice to remove Sison from the EU terrorist blacklist on September 30, 2009, became final and binding on December 10, 2009, inasmuch as the EU did not make appeal.  (Jose Maria Sison)","on September 30, 2009",,remove,European Court of Justice,,,,Sison,,
ousmane,Q3045892,8.0,"Juan Carlos Tabío began working in 1961 at the ICAIC (Cuban Institute of Art and Cinematographic Industry) as a production assistant, then as assistant director.  (Juan Carlos Tabío)",in 1961,Juan Carlos Tabío,working,at the ICAIC (Cuban Institute of Art and Cinematographic Industry),,began,,,,
ousmane,Q12846327,8.0,"In 2001, he received a second degree in higher education from Baku State University Law School.  (Sayyad Aran)",In 2001,,received,from Baku State University Law School,,,,he,,
ousmane,Q1980074,27.0,"The Committee to Protect Journalists, which had awarded Gorriti its International Press Freedom Award for his work with the paper, called the election, and the resignations and demotions of investigative staff that followed, a ""boardroom coup"" that left ""the once feisty paper a shadow of its former self"".  (Gustavo Gorriti Ellenbogen)",,,awarded,The Committee to Protect Journalists,,,,Gorriti,,
ousmane,Q7876221,14.0,U Lwin continued with his career in the army after independence and was sent on training courses to England and West Germany.  (U Lwin),,U Lwin,,in the army,,continued,career,,,
ousmane,Q7876221,14.0,U Lwin continued with his career in the army after independence and was sent on training courses to England and West Germany.  (U Lwin),,,sent,,to England and West Germany,,,U Lwin,,
ousmane,Q469745,51.0,"The same day the suit was filed, CBS released a statement saying that Rowell left the cast of her own initiative, the suit was without merit, and they would vigorously defend the case.  (Victoria Rowell)",,Rowell,left,CBS,,,,,,
ousmane,Q188093,49.0,"Hughes later said that, prior to arriving in Mexico, ""I had been thinking about my father and his strange dislike of his own people.  (Langston Hughes)",,Hughes,arriving,,in Mexico,,,,said,
ousmane,Q528778,8.0,He initially worked for Newsline and wrote for The Washington Post and India Today.   (Mohammed Hanif),,He,worked,for Newsline,,,,,,
ousmane,Q528778,8.0,He initially worked for Newsline and wrote for The Washington Post and India Today.   (Mohammed Hanif),,He,wrote,for The Washington Post and India Today,,,,,,
ousmane,Q28777191,5.0,"In her decade as a daily newspaper reporter, she covered politics, immigration and demographics in Texas, Pennsylvania and New Jersey and spent three months in the spring of 2005, during the Iraq war, as a foreign correspondent in Knight Ridder's Baghdad bureau.  (Gaiutra Bahadur)",,,,,"in Texas, Pennsylvania and New Jersey",,reporter,she,,
ousmane,Q28777191,5.0,"In her decade as a daily newspaper reporter, she covered politics, immigration and demographics in Texas, Pennsylvania and New Jersey and spent three months in the spring of 2005, during the Iraq war, as a foreign correspondent in Knight Ridder's Baghdad bureau.  (Gaiutra Bahadur)",,she,,,"in Texas, Pennsylvania and New Jersey",,covered,,,
ousmane,Q28777191,5.0,"In her decade as a daily newspaper reporter, she covered politics, immigration and demographics in Texas, Pennsylvania and New Jersey and spent three months in the spring of 2005, during the Iraq war, as a foreign correspondent in Knight Ridder's Baghdad bureau.  (Gaiutra Bahadur)",in the spring of 2005,she,,in Knight Ridder's Baghdad bureau,,,correspondent,,,
ousmane,Q95273,48.0,"Her autobiography, When I Fell from the Sky (German: Als ich vom Himmel fiel), was released on 10 March 2011 by Piper Verlag, for which she received the Corine Literature Prize in 2011.  (Juliane Koepcke)",,Her autobiography,released,by Piper Verlag,,,,,,on 10 March 2011
ousmane,Q95273,48.0,"Her autobiography, When I Fell from the Sky (German: Als ich vom Himmel fiel), was released on 10 March 2011 by Piper Verlag, for which she received the Corine Literature Prize in 2011.  (Juliane Koepcke)",in 2011,,received,,,,,she,,
ousmane,Q531814,256.0,"During the post-match celebration following Brazil's 4–1 win over Argentina in the 2005 Confederations Cup final, he and several of his teammates wore T-shirts that read ""Jesus Loves You"" in various languages.  (Kaká)",in the 2005,he,wore,Argentina,,,,,,
ousmane,Q7285550,3.0,"His great-great-uncle, the journalist Najib Nassar, founded  the Haifa-based newspaper Al-Karmil in the last years of the Ottoman Empire, before World War I. His father, Aziz, also a lawyer, was one of the first Palestinians to publicly support a two-state solution to the Arab-Israeli conflict.  (Raja Shehadeh)",,,,,,,,,,
ousmane,Q1399671,67.0,"Ravi Zacharias later established The Oxford Centre for Christian Apologetics (OCCA), an unaccredited, unrecognised research institute in Oxfordshire, England offering theological degrees.  (Ravi Zacharias)",,Ravi Zacharias,,The Oxford Centre for Christian Apologetics (OCCA),in Oxfordshire,,established,,,
ousmane,Q1579932,26.0,"In 2016, Netflix announced Fronckowiak as part of the main cast of 3%, the first Brazilian original series on the streaming service.  (Mel Fronckowiak)",In 2016,,,Netflix,,,part,Fronckowiak,announced,
ousmane,Q22966821,18.0,"On his arrival, Amaruk started his professional career as Journalist thanks to his notable talent for writing and the desire to go after the news of global interest, for the group of Latin Americans residing in Spain.  (Amaruk Caizapanta)",,Amaruk,,for the group of Latin Americans,in Spain,started,career,,,
ousmane,Q528778,0.0,Mohammed Hanif (born November 1964) is a British Pakistani writer and journalist who writes a monthly opinion piece in The New York Times.  (Mohammed Hanif),,Mohammed Hanif,,in The New York Times,,,writer and journalist,,,
ousmane,Q528778,0.0,Mohammed Hanif (born November 1964) is a British Pakistani writer and journalist who writes a monthly opinion piece in The New York Times.  (Mohammed Hanif),,Mohammed Hanif,writes,in The New York Times,,,,,,
ousmane,Q528778,0.0,Mohammed Hanif (born November 1964) is a British Pakistani writer and journalist who writes a monthly opinion piece in The New York Times.  (Mohammed Hanif),November 1964,Mohammed Hanif,born,,,,,,,
ousmane,Q5274753,11.0,"On the 23rd of June 2001, Okenyodo, working with colleagues—Sumaila Umaisha, Aba Ejembi, Jerome Ajayi—founded the Kaduna Writers' League.  (Diego Odoh Okenyodo)",On the 23rd of June 2001,Okenyodo,,Kaduna Writers' League,,,working,,,
ousmane,Q5274753,11.0,"On the 23rd of June 2001, Okenyodo, working with colleagues—Sumaila Umaisha, Aba Ejembi, Jerome Ajayi—founded the Kaduna Writers' League.  (Diego Odoh Okenyodo)",,Okenyodo,founded,the Kaduna Writers' League,,,,,,
ousmane,Q19892251,19.0,"Jotwani died on 28 January 2008 in Pune, succumbing to a cardiac arrest, leaving behind his wife, Raj Motwani and two sons.  (Motilal Jotwani)",on 28 January 2008,Jotwani,died,,in Pune,,,,,
ousmane,Q19892251,19.0,"Jotwani died on 28 January 2008 in Pune, succumbing to a cardiac arrest, leaving behind his wife, Raj Motwani and two sons.  (Motilal Jotwani)",on 28 January 2008,Jotwani,succumbing,,in Pune,,,,,
ousmane,Q19892251,19.0,"Jotwani died on 28 January 2008 in Pune, succumbing to a cardiac arrest, leaving behind his wife, Raj Motwani and two sons.  (Motilal Jotwani)",on 28 January 2008,Jotwani,leaving,,in Pune,,,,,
ousmane,Q251123,2.0,He won the 1991 International Nonino Prize in Italy.  (Álvaro Mutis),1991,He,won,,in Italy,,,,,
ousmane,Q2946652,4.0,"Dovey attended high school in Australia at North Sydney Girls High School, before going to the United States in 1999 to study at Harvard University as an undergraduate where she completed a joint degree in Anthropology and Visual & Environmental Studies in 2003.  (Ceridwen Dovey)",,Dovey,,at North Sydney Girls High School,in Australia,,attended,,,
ousmane,Q2946652,4.0,"Dovey attended high school in Australia at North Sydney Girls High School, before going to the United States in 1999 to study at Harvard University as an undergraduate where she completed a joint degree in Anthropology and Visual & Environmental Studies in 2003.  (Ceridwen Dovey)",in 1999,Dovey,,at Harvard University,United States,,study,,,
ousmane,Q2946652,4.0,"Dovey attended high school in Australia at North Sydney Girls High School, before going to the United States in 1999 to study at Harvard University as an undergraduate where she completed a joint degree in Anthropology and Visual & Environmental Studies in 2003.  (Ceridwen Dovey)",in 2003,she,,,,completed,Studies,,,
ousmane,Q5878,47.0,"Though García Márquez never finished his higher studies, some universities, including Columbia University, New York, have given him an honorary doctorate in writing.  (Gabriel García Márquez)",,García Márquez,,,,finished,studies,,,
ousmane,Q5878,47.0,"Though García Márquez never finished his higher studies, some universities, including Columbia University, New York, have given him an honorary doctorate in writing.  (Gabriel García Márquez)",,,given,Columbia University,New York,,,him,,
ousmane,Q3161465,73.0,"Next he was called to Portland, Maine, where he served for three years.  (James W.C. Pennington)",,he,called,,to Portland,,,,,
ousmane,Q3161465,73.0,"Next he was called to Portland, Maine, where he served for three years.  (James W.C. Pennington)",for three years,he,,,Portland,,served,,,
ousmane,Q4868275,14.0,He joined Rotary International in 1972 and rendered his service to the society as Rotarian in various capacity.  (Basti Vaman Shenoy),in 1972,He,joined,Rotary International,,,,,,
ousmane,Q4868275,14.0,He joined Rotary International in 1972 and rendered his service to the society as Rotarian in various capacity.  (Basti Vaman Shenoy),,He,rendered,Rotary International,,,,,,
ousmane,Q43374474,0.0,"Olúmìdé Pópóọlá is a London-based Nigerian-German writer, speaker and performer.  (Olumide Popoola)",,Olúmìdé Pópóọlá,,,London,,"writer, speaker and performer",,,
ousmane,Q970649,82.0,"In Italy, it won the Premio Gregor von Rezzori-Città di Firenze; with the English translation, Vásquez became the first Latin American and the second Spanish-language author to win the International IMPAC Dublin Literary Award, previously awarded to authors such as Orhan Pamuk, Herta Müller and Javier Marías; the French translation was instrumental to Vásquez being awarded the Prix Roger Caillois; in the United States, the novel appeared on the cover of The New York Times Book Review, where Edmund White called it “A brilliant new novel...gripping...absorbing right to the end”.  (Juan Gabriel Vásquez)",,it,won,,In Italy,,,,,
ousmane,Q970649,82.0,"In Italy, it won the Premio Gregor von Rezzori-Città di Firenze; with the English translation, Vásquez became the first Latin American and the second Spanish-language author to win the International IMPAC Dublin Literary Award, previously awarded to authors such as Orhan Pamuk, Herta Müller and Javier Marías; the French translation was instrumental to Vásquez being awarded the Prix Roger Caillois; in the United States, the novel appeared on the cover of The New York Times Book Review, where Edmund White called it “A brilliant new novel...gripping...absorbing right to the end”.  (Juan Gabriel Vásquez)",,Vásquez,win,,,became,,,,
ousmane,Q970649,82.0,"In Italy, it won the Premio Gregor von Rezzori-Città di Firenze; with the English translation, Vásquez became the first Latin American and the second Spanish-language author to win the International IMPAC Dublin Literary Award, previously awarded to authors such as Orhan Pamuk, Herta Müller and Javier Marías; the French translation was instrumental to Vásquez being awarded the Prix Roger Caillois; in the United States, the novel appeared on the cover of The New York Times Book Review, where Edmund White called it “A brilliant new novel...gripping...absorbing right to the end”.  (Juan Gabriel Vásquez)",,Vásquez,awarded,New York Times,in the United States,,,,,
ousmane,Q27942223,32.0,"The poem was published on October 1, 1921 in the Kansas City Sun.  (J. Dallas Bowser)",,,,,,,,,,
ousmane,Q6779572,13.0,"Berry spent seven years working at the University of Maryland, eventually becoming interim provost of the Division of Behavioral and Social Sciences.  (Mary Frances Berry)",seven years,Berry,working,at the University of Maryland,,spent,,,,
ousmane,Q6779572,13.0,"Berry spent seven years working at the University of Maryland, eventually becoming interim provost of the Division of Behavioral and Social Sciences.  (Mary Frances Berry)",,Berry,,at the University of Maryland,,becoming,provost,,,
ousmane,Q217427,7.0,She is a two time New York Times best selling author.  (La Toya Jackson),a two time,She,,New York Times,,,is,,,
ousmane,Q6807585,6.0,"She completed a Doctorate of Philosophy in Socio-linguistics from Anna University, Chennai.  (Meena Kandasamy)",,She,,from Anna University,Chennai,completed,Doctorate,,,
ousmane,Q319871,306.0,"Washington took the lead in promoting educational uplift for the African Diaspora, often with funding from the Phelps Stokes Fund or in collaboration with foreign sources, such as the German government.  (Booker T. Washington)",,Washington,,for the African Diaspora,German,,took,,,
ousmane,Q7679487,12.0,His book Alamaat e Zahoor e Mehdi is considered as one of the most comprehensive book compiled and written on the topic of Imam Mehdi in Urdu language.  (Talib Jauhari),,,,,,,considered,His book Alamaat e Zahoor e Mehdi,,
ousmane,Q7660270,1.0,He was the president of Asam Sahitya Sabha in 1977 held at Abhayapuri.  (Syed Abdul Malik),in 1977,He,,of Asam Sahitya Sabha,at Abhayapuri,,president,,,
ousmane,Q1541759,13.0,"Tati Loutard ran again in the 2007 parliamentary election, and this time he was elected to the National Assembly as the MAR candidate in Tchiamba-Nzassi, winning the seat in the first round with 52.54% of the vote.  (Jean-Baptiste Tati-Loutard)",in the 2007,Tati Loutard,ran,,,,,,,
ousmane,Q1541759,13.0,"Tati Loutard ran again in the 2007 parliamentary election, and this time he was elected to the National Assembly as the MAR candidate in Tchiamba-Nzassi, winning the seat in the first round with 52.54% of the vote.  (Jean-Baptiste Tati-Loutard)",,,elected,to the National Assembly,in Tchiamba-Nzassi,,,he,,
ousmane,Q1541759,13.0,"Tati Loutard ran again in the 2007 parliamentary election, and this time he was elected to the National Assembly as the MAR candidate in Tchiamba-Nzassi, winning the seat in the first round with 52.54% of the vote.  (Jean-Baptiste Tati-Loutard)",,he,winning,National Assembly,in Tchiamba-Nzassi,,,,,
ousmane,Q4838045,9.0,"He was a columnist for Hyderabad-based daily newspaper Postnoon and wrote a column called ""The Human Angle"".  (Babu Gogineni)",,He,,for Hyderabad-based daily newspaper Postnoon,,,,,,wrote
ousmane,Q4838045,9.0,"He was a columnist for Hyderabad-based daily newspaper Postnoon and wrote a column called ""The Human Angle"".  (Babu Gogineni)",,He,,for Hyderabad-based daily newspaper Postnoon,,,columnist,,,
ousmane,Q3291572,10.0,Vimala Devi moved to Lisbon in 1957 to rejoin part of her family already established in the city and began work as a translator.   (Vimala Devi),in 1957,Vimala Devi,moved,,to Lisbon,,,,,
ousmane,Q3291572,10.0,Vimala Devi moved to Lisbon in 1957 to rejoin part of her family already established in the city and began work as a translator.   (Vimala Devi),in 1957,Vimala Devi,rejoin,,Lisbon,,,,,
ousmane,Q3291572,10.0,Vimala Devi moved to Lisbon in 1957 to rejoin part of her family already established in the city and began work as a translator.   (Vimala Devi),in 1957,Vimala Devi,work,,Lisbon,began,,,,
ousmane,Q43373901,22.0,"In November, he participated in Colors TV's Bigg Boss 14, this time as a challenger.  (Vikas Gupta)",In November,he,participated,in Colors TV's Bigg Boss 14,,,,,,
ousmane,Q330809,12.0,"In 1994, during his studies at Case Western Reserve University, he founded Wordsmith.org.  (Anu Garg)",In 1994,he,,at Case Western Reserve University,,during,his studies,,,
ousmane,Q330809,12.0,"In 1994, during his studies at Case Western Reserve University, he founded Wordsmith.org.  (Anu Garg)",In 1994,he,founded,Wordsmith.org,,,,,,
ousmane,Q8063510,18.0,He has been awarded the best Media Educationist for the year 2015 by (SALF) and Recently Zabir Saeed Badar has been given the Lifetime Achievement Award by Pakistan Writers Guild and Qalam Foundation International He organized the first Perween Shakir literary award in Pakistan in 1995.  (Zabir Saeed),for the year 2015,,awarded,by (SALF),,,,He,,
ousmane,Q8063510,18.0,He has been awarded the best Media Educationist for the year 2015 by (SALF) and Recently Zabir Saeed Badar has been given the Lifetime Achievement Award by Pakistan Writers Guild and Qalam Foundation International He organized the first Perween Shakir literary award in Pakistan in 1995.  (Zabir Saeed),,,given,by Pakistan Writers Guild and Qalam Foundation International,,,,Zabir Saeed,,
ousmane,Q8063510,18.0,He has been awarded the best Media Educationist for the year 2015 by (SALF) and Recently Zabir Saeed Badar has been given the Lifetime Achievement Award by Pakistan Writers Guild and Qalam Foundation International He organized the first Perween Shakir literary award in Pakistan in 1995.  (Zabir Saeed),in 1995,He,organized,,in Pakistan,,,,,
ousmane,Q275146,141.0,"Without substantive procedural prerequisites, neither the Supreme Court, nor the Union of India was able to take any meaningful steps. (P. V. Narasimha Rao)",,,,,,,,,,
ousmane,Q233289,121.0,The visit led to expansion in trade and economic ties between India and the United States.  (Atal Bihari Vajpayee),,,,,,,,,,
ousmane,Q354783,212.0,"NPR's obituary for Baraka describes the depths of his influence simply: ""...throughout his life – the Black Arts Movement never stopped"".  (Amiri Baraka)",,,,,,,,,,
ousmane,Q4019985,25.0,"Published posthumously in November 2017 by Ishmael Reed Publishing Company, it was designated ""REDISCOVERED NOVEL OF THE YEAR"" by Jeff Biggers in the Huffington Post.  (William Demby)",in November 2017,,designated,in the Huffington Post,,,,it,,
ousmane,Q450346,69.0,"She explains: ""This is the first time I will be an active reveler at carnival in Haiti.  (Edwidge Danticat)",,She,,,in Haiti,,reveler,,explains,
ousmane,Q2722550,4.0,"He daily attended the first 10 day Cross Maidan Pandal Festival in 1971 organized by A.C. Bhaktivedanta Swami Prabhupada, the founder of the International Society for Krishna Consciousness (ISKCON) and his Western disciples.  (Lokanatha Swami)",in 1971,He,attended,the first 10 day Cross Maidan Pandal Festival,,,,,,
ousmane,Q20979380,29.0,"The song brought Sethi to international recognition as a singer, and was named the ""highlight of the album"" by Times of India.  (Ali Sethi)",,Sethi,,by Times of India,,,named,,,
ousmane,Q20979380,29.0,"The song brought Sethi to international recognition as a singer, and was named the ""highlight of the album"" by Times of India.  (Ali Sethi)",,,,by Times of India,,,brought,Sethi,,
ousmane,Q228787,36.0,"Her acting in the film was noted in the San Francisco Chronicle, which wrote that she was ""the one to watch"".  (Jada Pinkett Smith)",,Her acting in the film,,in the San Francisco Chronicle,,,noted,,,
