author,sent_id,text,ARGx-LOC,STATE,TIME,WRITER-ARG0,REP-EVENT,EVENT,ARGx-ORG,ASP-EVENT,WRITER-ARGx,lemma
Q6236380,22,"Bowen continued writing and producing for many long-running drama strands on both the BBC and ITV throughout the 1970s, including ITV Play of the Week, Armchair Thriller, the same network's Playhouse and Weekend Playhouse.  (John Griffith Bowen)",,producing,throughout the 1970s,Bowen,,,on both the BBC and ITV,continued,,produce
Q6099288,6,"She later moved to the island of São Vicente and lived in her uncle's house, the writer António Aurélio Gonçalves, where she started to write stories and folklore books from Cape Verde, because she knew and liked to tell him.   (Ivone Ramos)",to the island of São Vicente,,,She,,moved,,,,move
Q6099288,6,"She later moved to the island of São Vicente and lived in her uncle's house, the writer António Aurélio Gonçalves, where she started to write stories and folklore books from Cape Verde, because she knew and liked to tell him.   (Ivone Ramos)",the island of São Vicente,lived,,She,,,,,,live
Q6099288,6,"She later moved to the island of São Vicente and lived in her uncle's house, the writer António Aurélio Gonçalves, where she started to write stories and folklore books from Cape Verde, because she knew and liked to tell him.   (Ivone Ramos)",the island of São Vicente,write,,she,,,,started,,write
Q42336680,9,Pillai is known for his debut non-fiction The Ivory Throne: Chronicles of the House of Travancore for which he won the Sahitya Akademi Yuva Puraskar in 2017.   (Manu S. Pillai),,,in 2017,he,,won,the Sahitya Akademi Yuva Puraskar,,,win
Q42336680,9,Pillai is known for his debut non-fiction The Ivory Throne: Chronicles of the House of Travancore for which he won the Sahitya Akademi Yuva Puraskar in 2017.   (Manu S. Pillai),,known,,,,,,,Pillai,know
Q25539791,7,"He was inclined towards studying Islamic sciences, and completed the traditional dars-e-nizami at the Madrasa Bait-ul-Uloom in Sarai Mir in four years.  (Hakim Muhammad Akhtar)",in Sarai Mir,,in four years,He,,completed,at the Madrasa Bait-ul-Uloom,,,complete
Q25539791,7,"He was inclined towards studying Islamic sciences, and completed the traditional dars-e-nizami at the Madrasa Bait-ul-Uloom in Sarai Mir in four years.  (Hakim Muhammad Akhtar)",,inclined,,He,,,,,,incline
Q970649,82,"In Italy, it won the Premio Gregor von Rezzori-Città di Firenze; with the English translation, Vásquez became the first Latin American and the second Spanish-language author to win the International IMPAC Dublin Literary Award, previously awarded to authors such as Orhan Pamuk, Herta Müller and Javier Marías; the French translation was instrumental to Vásquez being awarded the Prix Roger Caillois; in the United States, the novel appeared on the cover of The New York Times Book Review, where Edmund White called it “A brilliant new novel...gripping...absorbing right to the end”.  (Juan Gabriel Vásquez)",the International IMPAC Dublin Literary Award,,,the first Latin American,,win,,,,win
Q970649,82,"In Italy, it won the Premio Gregor von Rezzori-Città di Firenze; with the English translation, Vásquez became the first Latin American and the second Spanish-language author to win the International IMPAC Dublin Literary Award, previously awarded to authors such as Orhan Pamuk, Herta Müller and Javier Marías; the French translation was instrumental to Vásquez being awarded the Prix Roger Caillois; in the United States, the novel appeared on the cover of The New York Times Book Review, where Edmund White called it “A brilliant new novel...gripping...absorbing right to the end”.  (Juan Gabriel Vásquez)",in the United States,,,,,awarded,,,Vásquez,award
Q970649,82,"In Italy, it won the Premio Gregor von Rezzori-Città di Firenze; with the English translation, Vásquez became the first Latin American and the second Spanish-language author to win the International IMPAC Dublin Literary Award, previously awarded to authors such as Orhan Pamuk, Herta Müller and Javier Marías; the French translation was instrumental to Vásquez being awarded the Prix Roger Caillois; in the United States, the novel appeared on the cover of The New York Times Book Review, where Edmund White called it “A brilliant new novel...gripping...absorbing right to the end”.  (Juan Gabriel Vásquez)",,,,the novel,,appeared,of The New York Times Book Review,,,appear
Q5878,47,"Though García Márquez never finished his higher studies, some universities, including Columbia University, New York, have given him an honorary doctorate in writing.  (Gabriel García Márquez)",,,,García Márquez,,finished,,,,finish
Q5878,47,"Though García Márquez never finished his higher studies, some universities, including Columbia University, New York, have given him an honorary doctorate in writing.  (Gabriel García Márquez)",New York,,,,,given,Columbia University,,him,give
Q3531436,1,"He is best known for his plays The Rez Sisters and Dry Lips Oughta Move to Kapuskasing, both of which won the Dora Mavor Moore Award and the Floyd S. Chalmers Award.  (Tomson Highway)",,known,,,,,,,He,know
Q3531436,1,"He is best known for his plays The Rez Sisters and Dry Lips Oughta Move to Kapuskasing, both of which won the Dora Mavor Moore Award and the Floyd S. Chalmers Award.  (Tomson Highway)",,,,his plays The Rez Sisters and Dry Lips Oughta Move to Kapuskasing,,won,,,,win
Q1377706,77,"In 1928, the National Park Service made a film featuring Grey Owl and Anahareo, which showed them with two beavers which they had taken in as kits and raised after their mother was killed.  (Grey Owl)",,,,Grey Owl,,featuring,,,,feature
Q152208,67,"Her July Vogue Brasil 2011 cover that was shot in the Amazon sold 70,743 copies, making it the magazine's highest-selling issue.  (Gisele Bündchen)",in the Amazon,,,,,shot,,,Her July Vogue Brasil 2011 cover,shoot
Q152208,67,"Her July Vogue Brasil 2011 cover that was shot in the Amazon sold 70,743 copies, making it the magazine's highest-selling issue.  (Gisele Bündchen)",,,,,,sold,,,Her July Vogue Brasil 2011 cover,sell
Q6766303,19,"She published poetry, short stories, and non-fiction pieces, then submitted her first novel, a paranormal romantic adventure set in China and the United States entitled Tiger Eye.  (Marjorie Liu)",,published,,She,,,,,,publish
Q6766303,19,"She published poetry, short stories, and non-fiction pieces, then submitted her first novel, a paranormal romantic adventure set in China and the United States entitled Tiger Eye.  (Marjorie Liu)",,,,She,,submitted,,,,submit
Q7154030,15,"In January 1990, Zeleza left Kenyatta University to work on his research of African economic history, which took him to the United Nations Economic Commission for Africa in Addis Ababa, Ethiopia, and his alma mater, Dalhousie University in Canada, where he spent the next six months conducting research.  (Paul Tiyambe Zeleza)",,,In January 1990,Zeleza,,left,Kenyatta University,,,leave
Q7154030,15,"In January 1990, Zeleza left Kenyatta University to work on his research of African economic history, which took him to the United Nations Economic Commission for Africa in Addis Ababa, Ethiopia, and his alma mater, Dalhousie University in Canada, where he spent the next six months conducting research.  (Paul Tiyambe Zeleza)",,work,,Zeleza,,,,,,work
Q7154030,15,"In January 1990, Zeleza left Kenyatta University to work on his research of African economic history, which took him to the United Nations Economic Commission for Africa in Addis Ababa, Ethiopia, and his alma mater, Dalhousie University in Canada, where he spent the next six months conducting research.  (Paul Tiyambe Zeleza)","in Addis Ababa, Ethiopia",,,,,took,to the United Nations Economic Commission for Africa,,him,take
Q7154030,15,"In January 1990, Zeleza left Kenyatta University to work on his research of African economic history, which took him to the United Nations Economic Commission for Africa in Addis Ababa, Ethiopia, and his alma mater, Dalhousie University in Canada, where he spent the next six months conducting research.  (Paul Tiyambe Zeleza)",in Canada,spent,,he,,,Dalhousie University,,,spend
Q7154030,15,"In January 1990, Zeleza left Kenyatta University to work on his research of African economic history, which took him to the United Nations Economic Commission for Africa in Addis Ababa, Ethiopia, and his alma mater, Dalhousie University in Canada, where he spent the next six months conducting research.  (Paul Tiyambe Zeleza)",in Canada,conducting,,he,,,Dalhousie University,,,conduct
Q1064577,13,"Together they had a son David Brent Gordone, yet Charles Gordone remained with Jeanne Warner raising their daughter Leah-Carla in New York City over the years while Nancy Meadows left her position with the Washington Post and traveled around with her son David as a member of Wavy Gravy's Hog Farm (a 1960s hippie communal/caravan group that coordinated light shows for major concerts around the U.S., including the first Woodstock Concert).  (Charles Gordone)",,,,they,,had,,,,have
Q1064577,13,"Together they had a son David Brent Gordone, yet Charles Gordone remained with Jeanne Warner raising their daughter Leah-Carla in New York City over the years while Nancy Meadows left her position with the Washington Post and traveled around with her son David as a member of Wavy Gravy's Hog Farm (a 1960s hippie communal/caravan group that coordinated light shows for major concerts around the U.S., including the first Woodstock Concert).  (Charles Gordone)",in New York City,remained,,Charles Gordone,,,,,,remain
Q1064577,13,"Together they had a son David Brent Gordone, yet Charles Gordone remained with Jeanne Warner raising their daughter Leah-Carla in New York City over the years while Nancy Meadows left her position with the Washington Post and traveled around with her son David as a member of Wavy Gravy's Hog Farm (a 1960s hippie communal/caravan group that coordinated light shows for major concerts around the U.S., including the first Woodstock Concert).  (Charles Gordone)",in New York City,raising,,Charles Gordone,,,,,,raise
Q5299406,10,"She has performed at venues including the Museum of London, Edinburgh Fringe Festival, Cambridge Water Stone, Liberty Radio, Battersea Arts Centre, Lauderdale House, the Commonwealth Institute, British Library, British Council of Bangladesh, Takshila in Pakistan and New York.  (Shamim Azad)","the Museum of London, Edinburgh Fringe Festival, Cambridge Water Stone",performed,,She,,,,,,perform
Q85011161,31,"Mayson's tenure at Historic Germantown provided background for some of her poetry honoring African-American slaves, such as her poem ""Happy birthday Dinah"" about a slave named Dinah who resided at the Stenton Mansion in the Logan section of Philadelphia, and was enslaved by family members of statesman and former mayor James Logan.  (Trapeta Mayson)",,tenure,,Mayson's,,,at Historic Germantown,,,tenure
Q85011161,31,"Mayson's tenure at Historic Germantown provided background for some of her poetry honoring African-American slaves, such as her poem ""Happy birthday Dinah"" about a slave named Dinah who resided at the Stenton Mansion in the Logan section of Philadelphia, and was enslaved by family members of statesman and former mayor James Logan.  (Trapeta Mayson)",,provided,,Mayson's tenure,,,,,,provide
Q85011161,31,"Mayson's tenure at Historic Germantown provided background for some of her poetry honoring African-American slaves, such as her poem ""Happy birthday Dinah"" about a slave named Dinah who resided at the Stenton Mansion in the Logan section of Philadelphia, and was enslaved by family members of statesman and former mayor James Logan.  (Trapeta Mayson)",,honoring,,some of her poetry,,,,,,honor
Q21406073,76,"Despite being an Arab author whose entire published fiction is written in Arabic, Habayeb has managed to develop an international reputation through participating in multiple cultural events that took place outside the Arab World, and having some of her pieces translated into English.  (Huzama Habayeb)",,written,,,,,,,entire published fiction,write
Q21406073,76,"Despite being an Arab author whose entire published fiction is written in Arabic, Habayeb has managed to develop an international reputation through participating in multiple cultural events that took place outside the Arab World, and having some of her pieces translated into English.  (Huzama Habayeb)",,author,,Habayeb,,,,,,author
Q21406073,76,"Despite being an Arab author whose entire published fiction is written in Arabic, Habayeb has managed to develop an international reputation through participating in multiple cultural events that took place outside the Arab World, and having some of her pieces translated into English.  (Huzama Habayeb)",,managed,,Habayeb,,,,,,manage
Q21406073,76,"Despite being an Arab author whose entire published fiction is written in Arabic, Habayeb has managed to develop an international reputation through participating in multiple cultural events that took place outside the Arab World, and having some of her pieces translated into English.  (Huzama Habayeb)",,develop,,Habayeb,,,,,,develop
Q21406073,76,"Despite being an Arab author whose entire published fiction is written in Arabic, Habayeb has managed to develop an international reputation through participating in multiple cultural events that took place outside the Arab World, and having some of her pieces translated into English.  (Huzama Habayeb)",outside the Arab World,participating,,Habayeb,,,,,,participate
Q21406073,76,"Despite being an Arab author whose entire published fiction is written in Arabic, Habayeb has managed to develop an international reputation through participating in multiple cultural events that took place outside the Arab World, and having some of her pieces translated into English.  (Huzama Habayeb)",,,,,,translated,,,some of her pieces,translate
Q6797935,1,She currently plays the role of May Valentine on NWA Powerrr Mayra Dias Gomes is a Brazilian writer.  (Mayra Dias Gomes),,plays,currently,She,,,,,,play
Q6797935,1,She currently plays the role of May Valentine on NWA Powerrr Mayra Dias Gomes is a Brazilian writer.  (Mayra Dias Gomes),,writer,,Mayra Dias Gomes,,,,,,writer
Q6935927,12,"He completed his Master studies from Punjab University, Lahore, in Philosophy .  (Muneer Ahmed Badini)",Lahore,,,He,,completed,from Punjab University,,,complete
Q6122156,6,"Sarkar went on to study economics at Patna University, where he associated with the Freedom Movement and the nascent Communist Party in Bihar, and he became an activist among students and educated people.  (Jagannath Sarkar)",,study,,Sarkar,,,at Patna University,went,,study
Q6122156,6,"Sarkar went on to study economics at Patna University, where he associated with the Freedom Movement and the nascent Communist Party in Bihar, and he became an activist among students and educated people.  (Jagannath Sarkar)",in Bihar,,,he,,associated,with the Freedom Movement and the nascent Communist Party,,,associate
Q6122156,6,"Sarkar went on to study economics at Patna University, where he associated with the Freedom Movement and the nascent Communist Party in Bihar, and he became an activist among students and educated people.  (Jagannath Sarkar)",,activist,,he,,,,became,,activist
Q236503,58,"On 11 August 1992, thousands of students organized by the National Student Union (União Nacional dos Estudantes – UNE), protested on the street against Collor.  (Fernando Collor de Mello)",,,On 11 August 1992,,,protested,by the National Student Union (União Nacional dos Estudantes – UNE),,against Collor,protest
Q7145842,2,She is on the faculties of the Stonecoast MFA Program in Creative Writing and the Low-Residency MFA Program in Creative Writing at Sierra Nevada College.  (Patricia Smith),,is,,She,,,of the Stonecoast MFA Program,,,be
Q7145842,2,She is on the faculties of the Stonecoast MFA Program in Creative Writing and the Low-Residency MFA Program in Creative Writing at Sierra Nevada College.  (Patricia Smith),at Sierra Nevada College,is,,She,,,,,,be
Q6324136,25,"He founded the Centre for Wildlife Studies, published more than 135 international peer-reviewed scientific papers and popular articles, and authored seven books in English and Kannada.  (K. Ullas Karanth)",,,,He,,founded,the Centre for Wildlife Studies,,,found
Q6324136,25,"He founded the Centre for Wildlife Studies, published more than 135 international peer-reviewed scientific papers and popular articles, and authored seven books in English and Kannada.  (K. Ullas Karanth)",,published,,He,,,,,,publish
Q6324136,25,"He founded the Centre for Wildlife Studies, published more than 135 international peer-reviewed scientific papers and popular articles, and authored seven books in English and Kannada.  (K. Ullas Karanth)",,authored,,He,,,,,,author
Q3318321,2,"After his secondary studies, he graduated in Swahili and Arabic language and travelled to Madagascar and France where he made studies in linguistics.  (Mohamed Ahmed-Chamanga)",,studies,,his,,,,,,study
Q3318321,2,"After his secondary studies, he graduated in Swahili and Arabic language and travelled to Madagascar and France where he made studies in linguistics.  (Mohamed Ahmed-Chamanga)",,,,he,,graduated,,,,graduate
Q3318321,2,"After his secondary studies, he graduated in Swahili and Arabic language and travelled to Madagascar and France where he made studies in linguistics.  (Mohamed Ahmed-Chamanga)",to Madagascar and France,,,he,,travelled,,,,travel
Q3318321,2,"After his secondary studies, he graduated in Swahili and Arabic language and travelled to Madagascar and France where he made studies in linguistics.  (Mohamed Ahmed-Chamanga)",Madagascar and France,,,he,,made,,,,make
Q12052938,0,"Shamsun Nahar Iffat Ara (Bengali: ইফ্‌ফাত আরা), known as Iffat Ara, is a writer, social activist and literary organizer of Bangladesh.  (Iffat Ara)",,known,,,,,,,Shamsun Nahar Iffat Ara,know
Q12052938,0,"Shamsun Nahar Iffat Ara (Bengali: ইফ্‌ফাত আরা), known as Iffat Ara, is a writer, social activist and literary organizer of Bangladesh.  (Iffat Ara)",of Bangladesh,writer,,Shamsun Nahar Iffat Ara,,,,,,writer
Q16106119,3,He went back to Morocco after he succeeded in meeting Hassan II during his vacations in France at the Hotel Le Crillon.  (Mahjoub Tobji),to Morocco,,,He,,went,,,,go
Q16106119,3,He went back to Morocco after he succeeded in meeting Hassan II during his vacations in France at the Hotel Le Crillon.  (Mahjoub Tobji),,,,he,,succeeded,,,,succeed
Q16106119,3,He went back to Morocco after he succeeded in meeting Hassan II during his vacations in France at the Hotel Le Crillon.  (Mahjoub Tobji),in France,,,he,,meeting,,,,meet
Q5924406,15,The Library of Congress has a collection of thirty-seven titles by Goon.  (Nirmalendu Goon),,has,,,,,The Library of Congress,,thirty-seven titles by Goon,have
Q623178,5,"He returned to Paraguay after General Alfredo Stroessner fell from power, and worked in numerous diplomatic posts, including the Paraguayan embassy in Buenos Aires.  (Elvio Romero)",Paraguay,,,He,,returned,,,,return
Q623178,5,"He returned to Paraguay after General Alfredo Stroessner fell from power, and worked in numerous diplomatic posts, including the Paraguayan embassy in Buenos Aires.  (Elvio Romero)",in Buenos Aires,worked,,He,,,the Paraguayan embassy,,,work
Q7926427,16,"He moved to the America in 1972 and took on his first project, a presidential mural of all the American presidents which is now in the White House Collection.  (Victor Victori)",to the America,,in 1972,He,,moved,,,,move
Q7926427,16,"He moved to the America in 1972 and took on his first project, a presidential mural of all the American presidents which is now in the White House Collection.  (Victor Victori)",,,,He,,took,,,,take
Q7926427,16,"He moved to the America in 1972 and took on his first project, a presidential mural of all the American presidents which is now in the White House Collection.  (Victor Victori)",in the White House Collection,is,,,,,,,"his first project, a presidential mural of all the American presidents",be
Q18750590,26,He won a rank at the Class X Board examination and went on to study science at MES College.  (Vishnu Wagh),,,,He,,won,,,,win
Q18750590,26,He won a rank at the Class X Board examination and went on to study science at MES College.  (Vishnu Wagh),,study,,He,,,at MES College,went,,study
Q1421838,15,"By 1970, his success as a columnist and speaker had made it possible for him to move on from teaching to a life in Madrid dedicated to his columns and books.  (Carlos Alberto Montaner)",,,By 1970,his success,,made,,,,make
Q1421838,15,"By 1970, his success as a columnist and speaker had made it possible for him to move on from teaching to a life in Madrid dedicated to his columns and books.  (Carlos Alberto Montaner)",in Madrid,,,him,,move,,,,move
Q1421838,15,"By 1970, his success as a columnist and speaker had made it possible for him to move on from teaching to a life in Madrid dedicated to his columns and books.  (Carlos Alberto Montaner)",,teaching,,him,,,,,,teach
Q1421838,15,"By 1970, his success as a columnist and speaker had made it possible for him to move on from teaching to a life in Madrid dedicated to his columns and books.  (Carlos Alberto Montaner)",in Madrid,dedicated,,a life,,,,,,dedicate
Q6416670,19,"Her famous poem 'We Sinful Women' (Urdu: ہم گنہگار عورتیں‎), affectionately referred to as a women's anthem among Pakistani feminists, gave its title to a groundbreaking anthology of contemporary Urdu feminist poetry, translated and edited by Rukhsana Ahmad and published in London by The Women's Press in 1991.  (Kishwar Naheed)",,referred,,Her famous poem 'We Sinful Women',,,,,,refer
Q6416670,19,"Her famous poem 'We Sinful Women' (Urdu: ہم گنہگار عورتیں‎), affectionately referred to as a women's anthem among Pakistani feminists, gave its title to a groundbreaking anthology of contemporary Urdu feminist poetry, translated and edited by Rukhsana Ahmad and published in London by The Women's Press in 1991.  (Kishwar Naheed)",,,,Her famous poem 'We Sinful Women',,gave,,,,give
Q6416670,19,"Her famous poem 'We Sinful Women' (Urdu: ہم گنہگار عورتیں‎), affectionately referred to as a women's anthem among Pakistani feminists, gave its title to a groundbreaking anthology of contemporary Urdu feminist poetry, translated and edited by Rukhsana Ahmad and published in London by The Women's Press in 1991.  (Kishwar Naheed)",,,,,,translated,,,Her famous poem 'We Sinful Women',translate
Q6416670,19,"Her famous poem 'We Sinful Women' (Urdu: ہم گنہگار عورتیں‎), affectionately referred to as a women's anthem among Pakistani feminists, gave its title to a groundbreaking anthology of contemporary Urdu feminist poetry, translated and edited by Rukhsana Ahmad and published in London by The Women's Press in 1991.  (Kishwar Naheed)",,,,,,edited,,,Her famous poem 'We Sinful Women',edit
Q6416670,19,"Her famous poem 'We Sinful Women' (Urdu: ہم گنہگار عورتیں‎), affectionately referred to as a women's anthem among Pakistani feminists, gave its title to a groundbreaking anthology of contemporary Urdu feminist poetry, translated and edited by Rukhsana Ahmad and published in London by The Women's Press in 1991.  (Kishwar Naheed)",in London,,in 1991,,,published,by The Women's Press,,Her famous poem 'We Sinful Women',publish
Q296299,4,"Adiga grew up in Mangalore and studied at Canara High School and later at St. Aloysius College, Mangaluru, where he completed his SSLC in 1990.  (Aravind Adiga)",in Mangalore,grew,,Adiga,,,,,,grow
Q296299,4,"Adiga grew up in Mangalore and studied at Canara High School and later at St. Aloysius College, Mangaluru, where he completed his SSLC in 1990.  (Aravind Adiga)",,studied,,Adiga,,,at Canara High School,,,study
Q296299,4,"Adiga grew up in Mangalore and studied at Canara High School and later at St. Aloysius College, Mangaluru, where he completed his SSLC in 1990.  (Aravind Adiga)",Mangaluru,studied,,Adiga,,,at St. Aloysius College,,,study
Q296299,4,"Adiga grew up in Mangalore and studied at Canara High School and later at St. Aloysius College, Mangaluru, where he completed his SSLC in 1990.  (Aravind Adiga)",,,in 1990,he,,completed,at St. Aloysius College,,,complete
Q3426281,14,"In 1982, when Columbia Pictures released the feature film, Gandhi, based on his grandfather's life, Gandhi wrote an article criticizing the Indian government for subsidizing the film with $25 million, arguing that there were more important things to spend such money on.  (Arun Manilal Gandhi)",,,In 1982,Gandhi,wrote,criticizing,the Indian government,,,criticize
Q3426281,14,"In 1982, when Columbia Pictures released the feature film, Gandhi, based on his grandfather's life, Gandhi wrote an article criticizing the Indian government for subsidizing the film with $25 million, arguing that there were more important things to spend such money on.  (Arun Manilal Gandhi)",,,In 1982,Gandhi,arguing,spend,,,,spend
Q208468,29,"She returned to the East and relocated to Kolkata, India, in 2004, where she lived until 2007.  (Taslima Nasrin)","to Kolkata, India",,in 2004,She,,returned,,,,return
